IB_valkyrie_bloodline;Blood of the Valkyrie;;;;;;;;;;;;;x
IB_valkyrie_bloodline_desc;[This.GetFirstNameWithNick] is a fearsome warrior with countless victories in wars and duels. Many believe her to be a valkyrie descended on Earth from Valhalla.;;;;;;;;;;;;;x
IB_cynane_bloodline;Blood of Cynane;;;;;;;;;;;;;x
IB_cynane_bloodline_desc;Cynane, the daughter of Philip was famous for her military knowledge: she led armies, and charged at the head of them in battle. In an engagement with the Illyrians, she slew Caeria their queen with her own hand, and with great slaughter defeated the Illyrian army.;;;;;;;;;;;;;x
IB_amazon_bloodline;Amazonian Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_amazon_bloodline_desc;Due to her famous prowess in both battlefield and duel, arena aficionados liken [This.GetFirstNameWithNick] to great female warriors of Amazons.;;;;;;;;;;;;;x
IB_khawlah_bloodline;Blood of Khawlah;;;;;;;;;;;;;x
IB_khawlah_bloodline_desc;Khawlah bint al-Azwar was a Muslim warrior and later a military leader. She has been described as one of the greatest female military leaders in history and was once compared with Khalid Bin Walid by her opponents on the battlefield.;;;;;;;;;;;;;x
IB_doramilaje_bloodline;Blood of the Dora Milaje;;;;;;;;;;;;;x
IB_doramilaje_bloodline_desc;Historically, the Dora Milaje are the personal bodyguards of the Black Panther and his potential wives. They are some of the greatest female warriors in the world.;;;;;;;;;;;;;x
IB_artemisia_bloodline;Blood of Artemisia;;;;;;;;;;;;;x
IB_artemisia_bloodline_desc;Artemisia I of Caria was a queen of the ancient Greek city-state of Halicarnassus and of the nearby islands of Kos, Nisyros and Kalymnos, within the Achaemenid satrapy of Caria. She fought as an ally of Xerxes I, King of Persia against the independent Greek city states during the second Persian invasion of Greece. She personally commanded her contribution of five ships at the naval battle of Artemisium and in the naval Battle of Salamis.;;;;;;;;;;;;;x
IB_boudicca_bloodline;Blood of Boudicca;;;;;;;;;;;;;x
IB_boudicca_bloodline_desc;Boudicca was a queen of the British Celtic Iceni tribe who led an uprising against the occupying forces of the Roman Empire. Although her rebellion failed, she is considered a British folk hero.;;;;;;;;;;;;;x
IB_zenobia_bloodline;Blood of Zenobia;;;;;;;;;;;;;x
IB_zenobia_bloodline_desc;Zenobia was a third century queen of the Palmyrene Empire in Syria. Zenobia was a cultured monarch and fostered an intellectual environment in her court, which was open to scholars and philosophers. In reaction to the campaign of the Roman emperor Aurelian in 272, Zenobia declared her son emperor and assumed the title of empress (declaring Palmyra's secession from Rome). The Romans were victorious after heavy fighting. The queen was besieged in her capital and captured by Aurelian, who exiled her to Rome where she spent the remainder of her life.;;;;;;;;;;;;;x
IB_jeannedarc_bloodline;Blood of Jeanne d'Arc;;;;;;;;;;;;;x
IB_jeannedarc_bloodline_desc;Jeanne d'Arc claimed to have received visions of the archangel Michael, Saint Margaret, and Saint Catherine of Alexandria instructing her to support Charles VII and recover France from English domination late in the Hundred Years' War. After she was captured by Burgundian faction, she was put on trial by the pro-English bishop and burned at the stake on 30 May 1431, dying at about nineteen years of age. Later the trial against her was reexamined by an inquisitorial court authorized by Pope Callixtus III and charges against her were dropped and she was declared a martyr. In 1920 she was canonized as a Roman Catholic saint.;;;;;;;;;;;;;x
IB_fuhao_bloodline;Blood of Fu Hao;;;;;;;;;;;;;x
IB_fuhao_bloodline_desc;Fu Hao was one of the many wives of King Wu Ding of the Shang dynasty and also served as a military general and high priestess.;;;;;;;;;;;;;x
IB_tomyris_bloodline;Blood of Tomyris;;;;;;;;;;;;;x
IB_tomyris_bloodline_desc;Tomyris was a Massagetean ruler who reigned over the Massagetae. Tomyris led her armies to defend against an attack by Cyrus the Great of the Achaemenid Empire, and, according to Herodotus, defeated and killed him in 530 BC.;;;;;;;;;;;;;x
IB_khutulun_bloodline;Blood of Khutulun;;;;;;;;;;;;;x
IB_khutulun_bloodline_desc;Khutulun was a Mongol noblewoman and wrestler. The most famous daughter of Kaidu, a cousin of Kublai Khan, her father was most pleased by her abilities, and she accompanied him on military campaigns.;;;;;;;;;;;;;x
IB_genfemwar_bloodline;Warrior Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
IB_genfemwar_bloodline_desc;[This.GetFirstNameWithNick] is a fearsome warrior with countless victories in wars and duels.;;;;;;;;;;;;;x
EVTDESCIB.201;[Root.GetTitledFirstName] led her army to many great victories and was victorious in many duels. There is no doubt that she is one of the best warriors the world has ever seen.;;;;;;;;;;;;;x
EVTOPT_a_IB.201;History will never forget me;;;;;;;;;;;;;x
