#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bsu_lcr_name;Blood of [This.Founder.GetFirstNameWithNick];Sang de [This.Founder.GetFirstNameWithNick];Blut von [This.Founder.GetFirstNameWithNick];;Sangre de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bsu_lcr_south_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [south_slavic.GetGroupName] people into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_hungarian_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [magyar.GetGroupName] and [avar.GetName] people into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_baltic_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [baltic.GetGroupName] people into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_finnish_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [finno_ugric.GetGroupName] people into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_bolghar_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [bolghar.GetName] people into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_khazar_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [khazar.GetName] people into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_alan_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [alan.GetName] people into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_scandinavian_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [north_germanic.GetGroupName] people into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_tengri_desc;[This.Founder.GetTitledFirstNameWithNick] managed to integrate the [tengri_pagan.GetName] religion into a multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_final_name;Unifying Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;;;;x
bsu_lcr_final_desc;[This.Founder.GetTitledFirstNameWithNick] united the East and West Slavic people into a single empire. [This.Founder.GetHerHisCap] descendants continued the project, successfully integrating all of the neighbouring peoples into a truly multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
bsu_lcr_final_desc_fallback;[This.Founder.GetTitledFirstNameWithNick] managed to unite all Slavic and neighbouring people into a truly multicultural [e_lechczechrus.GetBaseName].;;;;;;;;;;;;;x
