#
#
# Show/Hide Artifact Filter Decisions
csh_artifact_filter_show_filters;CSH: Show Artifact Filters;;;;;;;;x
csh_artifact_filter_show_filters_desc; ;;;;;;;;x
csh_artifact_filter_show_filters_tt;Show the §Yartifact filter decisions§!, so that you can restrict your searches to the particular types of artifacts you are looking for.;;;;;;;;x
csh_artifact_filter_hide_filters;CSH: Hide Artifact Filters;;;;;;;;x
csh_artifact_filter_hide_filters_desc; ;;;;;;;;x
csh_artifact_filter_hide_filters_tt;Hide the §Yartifact filter decisions§!\n\nNB: Any artifact filters that are enabled will §Yremain enabled§! even though the decisions are hidden!;;;;;;;;x
#
#
# Artifact Filter Decisions
csh_artifact_filter_toggle_all;CSH Filter: Toggle All Filters;;;;;;;;x
csh_artifact_filter_toggle_all_desc; ;;;;;;;;x
csh_artifact_filter_toggle_only_unowned;CSH Filter: Toggle 'Only Unowned Artifacts' Filter;;;;;;;;x
csh_artifact_filter_toggle_only_unowned_desc; ;;;;;;;;x
csh_artifact_filter_toggle_no_armor;CSH Filter: Toggle 'No Armor' Filter;;;;;;;;x
csh_artifact_filter_toggle_no_armor_desc; ;;;;;;;;x
csh_artifact_filter_toggle_no_books;CSH Filter: Toggle 'No Books' Filter;;;;;;;;x
csh_artifact_filter_toggle_no_books_desc; ;;;;;;;;x
csh_artifact_filter_toggle_no_clutter;CSH Filter: Toggle 'No Clutter' Filter;;;;;;;;x
csh_artifact_filter_toggle_no_clutter_desc; ;;;;;;;;x
csh_artifact_filter_toggle_no_mounts_or_pets;CSH Filter: Toggle 'No Mounts and Pets' Filter;;;;;;;;x
csh_artifact_filter_toggle_no_mounts_or_pets_desc; ;;;;;;;;x
csh_artifact_filter_toggle_no_necklaces;CSH Filter: Toggle 'No Necklaces' Filter;;;;;;;;x
csh_artifact_filter_toggle_no_necklaces_desc; ;;;;;;;;x
csh_artifact_filter_toggle_no_rings;CSH Filter: Toggle 'No Rings' Filter;;;;;;;;x
csh_artifact_filter_toggle_no_rings_desc; ;;;;;;;;x
csh_artifact_filter_toggle_no_weapons;CSH Filter: Toggle 'No Weapons' Filter;;;;;;;;x
csh_artifact_filter_toggle_no_weapons_desc; ;;;;;;;;x
csh_artifact_filter_toggle_no_other;CSH Filter: Toggle 'No Other' Filter;;;;;;;;x
csh_artifact_filter_toggle_no_other_desc; ;;;;;;;;x
#
#
# Artifact Filter Decision Tooltips
csh_artifact_filter_all_filters_will_be_disabled_tt;§YAll artifact filters§! will be §Rdisabled§!.\n\n§YAll artifacts§! will be §Gincluded§! in search results.;;;;;;;;x
csh_artifact_filter_all_filters_will_be_enabled_tt;§YAll artifact filters§! will be §Renabled§!.\n\n§YAll artifacts§! will be §Gexcluded§! from search results.\n\n(This isn't very useful on its own - you'll probably want to disable at least one of the other filters...);;;;;;;;x
csh_artifact_filter_only_unowned_will_be_disabled_tt;The §Y"Only Unowned"§! filter (currently §Yenabled§!) will be §Rdisabled§!.\n\nArtifacts of types that are §Yowned by [Root.GetTitledFirstName]§! will be §Gincluded§! in search results.;;;;;;;;x
