# Update all characters
csh_update_all_characters;(CSH) Update all characters' CSH traits;;;;;;;;x
csh_update_all_characters_desc; ;;;;;;;;x
csh_update_all_characters_tt;§RWARNING: CPU-Heavy!§!\nEvery living character's §Yspecial CSH traits§! will be §Gupdated§! §Rimmediately§! (instead of the usual gradual updates throughout the year).;;;;;;;;x
# Enable/disable regular updates
csh_reenable_updates;(CSH) Re-enable updates;;;;;;;;x
csh_reenable_updates_desc; ;;;;;;;;x
csh_remove_all_traits_and_disable_updates;(CSH) Remove all traits and disable updates;;;;;;;;x
csh_remove_all_traits_and_disable_updates_desc;;;;;;;;;x
csh_reenable_updates_tt;Every living character's §Yspecial CSH traits§! will be §Gupdated§! at a random time once per year;;;;;;;;x
csh_disable_updates_tt;Every living character will §Rstop§! having §Yspecial CSH traits§! added or updated;;;;;;;;x
csh_remove_all_traits_tt;Every living character's §Yspecial CSH traits§! will be §Rremoved§!;;;;;;;;x
# Formatting
csh_big_separator;\n§g.§!\n;;;;;;;;x
