#
# Decisions
edmp_apply_invasion_permission_flag_to_this_character_decision;§M(ED:MP)§! Apply Inv Perm Flag;;;;;;;;;;;;;x
edmp_apply_invasion_permission_flag_to_this_character_decision_desc;If §Y[This.GetTitledFirstName]§! is a human player, [This.GetHerHis] ability to invade will be managed via title flags.;;;;;;;;;;;;;x
edmp_remove_invasion_permission_flag_from_this_character_decision;§M(ED:MP)§! Remove Inv Perm Flag;;;;;;;;;;;;;x
edmp_remove_invasion_permission_flag_from_this_character_decision_desc;§Y[This.GetTitledFirstName]§! will §Rnot be permitted to invade§! (if [This.GetSheHe] is a human player).;;;;;;;;;;;;;x
edmp_remove_invasion_permission_flag_from_listed_character_decision;§M(ED:MP)§! Remove Inv Perm Flag (List);;;;;;;;;;;;;x
edmp_remove_invasion_permission_flag_from_listed_character_decision_desc;The specified character will §Rnot be permitted to invade§! (if they are a human player).;;;;;;;;;;;;;x
edmp_apply_invasion_permission_flag_to_this_title_decision;§M(ED:MP)§! Apply Inv Perm Flag;;;;;;;;;;;;;x
edmp_apply_invasion_permission_flag_to_this_title_decision_desc;The specified character will §Gbe permitted to invade§! the §Y[This.GetFullBaseName]§! (if they are a human player).;;;;;;;;;;;;;x
edmp_remove_invasion_permission_flag_from_this_title_decision;§M(ED:MP)§! Remove Inv Perm Flag;;;;;;;;;;;;;x
edmp_remove_invasion_permission_flag_from_this_title_decision_desc;The specified character will §Rnot be permitted to invade§! the §Y[This.GetFullBaseName]§! (if they are a human player).;;;;;;;;;;;;;x
#
# Triggers
edmp_this_character_has_no_invasion_permission_flag_tt;§M(ED:MP)§! Has NO invasion permission flag;;;;;;;;;;;;;x
edmp_this_character_has_any_invasion_permission_flag_tt;§M(ED:MP)§! Has ANY invasion permission flag;;;;;;;;;;;;;x
edmp_all_invasion_permission_character_flags_have_not_been_issued_tt;§M(ED:MP)§! At least one character invasion permission flag is available for use;;;;;;;;;;;;;x
edmp_all_invasion_permission_character_flags_have_been_issued_tt;§M(ED:MP)§! No character invasion permission flags are available for use;;;;;;;;;;;;;x
edmp_root_does_not_have_permission_to_invade_at_least_one_of_froms_kingdoms_tt;§M(ED:MP)§! [Root.GetTitledFirstName] does NOT have permission to invade ANY of [From.GetTitledFirstName]'s kingdoms;;;;;;;;;;;;;x
edmp_root_does_not_have_permission_to_invade_at_least_one_of_froms_kingdoms_cb_tt;§M(ED:MP)§! [Root.GetTitledFirstName] has permission to invade at least one of [From.GetTitledFirstName]'s kingdoms\n§g......§Y(Since you do NOT have permission, all possible Invasion CBs will be shown for reference - but they cannot be used.)§!;;;;;;;;;;;;;x
edmp_root_has_permission_to_invade_at_least_one_of_froms_kingdoms_tt;§M(ED:MP)§! [Root.GetTitledFirstName] has permission to invade at least one of [From.GetTitledFirstName]'s kingdoms;;;;;;;;;;;;;x
edmp_root_has_permission_to_invade_at_least_one_of_froms_kingdoms_cb_tt;§M(ED:MP)§! [Root.GetTitledFirstName] has permission to invade at least one of [From.GetTitledFirstName]'s kingdoms\n§g......§Y(Only Invasion CBs with permission are shown, due to game engine limitations.)§!;;;;;;;;;;;;;x
edmp_this_title_has_invasion_permission_flag_matching_prev_character_tt;§M(ED:MP)§! [Prev.GetTitledFirstName] has permission to invade the [This.GetFullBaseName];;;;;;;;;;;;;x
edmp_this_title_has_invasion_permission_flag_matching_root_character_tt;§M(ED:MP)§! [Root.GetTitledFirstName] has permission to invade the [This.GetFullBaseName];;;;;;;;;;;;;x
#
# Effects
edmp_apply_invasion_permission_flag_to_this_character_tt;§Y[This.GetTitledFirstName]§!: Invasion permission management §Gstarted§!;;;;;;;;;;;;;x
edmp_remove_invasion_permission_flag_from_this_character_tt;§Y[This.GetTitledFirstName]§!: Invasion permission management §Rended§!;;;;;;;;;;;;;x
edmp_apply_prev_characters_invasion_permission_flag_to_this_title_tt;Permission §Ggranted§!;;;;;;;;;;;;;x
edmp_remove_prev_characters_invasion_permission_flag_from_this_title_tt;Permission §Rrevoked§!;;;;;;;;;;;;;x
edmp_warning_no_invasion_permission_flags_remaining_tt;§RWARNING!§! All invasion permission flags have been issued, so §Rnothing will happen§!!;;;;;;;;;;;;;x
#
# Modifiers
edmp_invasion_permission_character_01;Invasion permission character 01;;;;;;;;;;;;;x
edmp_invasion_permission_character_02;Invasion permission character 02;;;;;;;;;;;;;x
edmp_invasion_permission_character_03;Invasion permission character 03;;;;;;;;;;;;;x
edmp_invasion_permission_character_04;Invasion permission character 04;;;;;;;;;;;;;x
edmp_invasion_permission_character_05;Invasion permission character 05;;;;;;;;;;;;;x
edmp_invasion_permission_character_06;Invasion permission character 06;;;;;;;;;;;;;x
edmp_invasion_permission_character_07;Invasion permission character 07;;;;;;;;;;;;;x
edmp_invasion_permission_character_08;Invasion permission character 08;;;;;;;;;;;;;x
edmp_invasion_permission_character_09;Invasion permission character 09;;;;;;;;;;;;;x
edmp_invasion_permission_character_10;Invasion permission character 10;;;;;;;;;;;;;x
edmp_invasion_permission_character_11;Invasion permission character 11;;;;;;;;;;;;;x
edmp_invasion_permission_character_12;Invasion permission character 12;;;;;;;;;;;;;x
edmp_invasion_permission_character_13;Invasion permission character 13;;;;;;;;;;;;;x
edmp_invasion_permission_character_14;Invasion permission character 14;;;;;;;;;;;;;x
edmp_invasion_permission_character_15;Invasion permission character 15;;;;;;;;;;;;;x
edmp_invasion_permission_character_16;Invasion permission character 16;;;;;;;;;;;;;x
edmp_invasion_permission_character_17;Invasion permission character 17;;;;;;;;;;;;;x
edmp_invasion_permission_character_18;Invasion permission character 18;;;;;;;;;;;;;x
edmp_invasion_permission_character_19;Invasion permission character 19;;;;;;;;;;;;;x
edmp_invasion_permission_character_20;Invasion permission character 20;;;;;;;;;;;;;x
