# Bloodline name & desc
emb_east_african_unity_bloodline_universal_name;East African Unity;;;;;;;;;;;;;x
emb_east_african_unity_bloodline_universal_desc;Through glorious conquest and magnificent diplomacy, [Root.GetTitledFirstName] has finally united all East Africans;;;;;;;;;;;;;x
# Decision
emb_forge_east_african_unity_bloodline;Forge East African Unity Bloodline;;;;;;;;;;;;;x
emb_forge_east_african_unity_bloodline_desc;Although East Africans have only rarely been united, they have significant cultural similarities. However, if a particularly dynamic leader was able to unite them and persuade them to set aside their differences, the resulting nation would become a force to be reckoned with...;;;;;;;;;;;;;x
# Tooltips (Decision allow block)
emb_east_african_unity_this_character_has_east_african_culture_tt;[This.GetTitledFirstName] is of §YEthiopian, Nubian or Somali culture§!;;;;;;;;;;;;;x
emb_east_african_unity_bloodline_has_not_been_forged_tt;No-one has ever created the §YEast African Unity bloodline§!;;;;;;;;;;;;;x
emb_east_african_unity_this_character_owns_at_least_1_ethiopian_province_tt;[This.GetTitledFirstName] owns at least one province of §YEthiopian culture§!;;;;;;;;;;;;;x
emb_east_african_unity_this_character_owns_at_least_1_nubian_province_tt;[This.GetTitledFirstName] owns at least one province of §YNubian culture§!;;;;;;;;;;;;;x
emb_east_african_unity_this_character_owns_at_least_1_somali_province_tt;[This.GetTitledFirstName] owns at least one province of §YSomali culture§!;;;;;;;;;;;;;x
emb_east_african_unity_this_character_owns_at_least_20_provinces_of_any_east_african_culture_in_east_africa_region_tt;[This.GetTitledFirstName] owns at least 20 provinces of §YEthiopian, Nubian or Somali culture§! in the §YEast Africa§! region;;;;;;;;;;;;;x
emb_east_african_unity_this_character_owns_every_east_african_culture_province_in_east_africa_region_tt;[This.GetTitledFirstName] owns every province of §YEthiopian, Nubian or Somali culture§! in the §YEast Africa§! region;;;;;;;;;;;;;x
emb_east_african_unity_this_character_does_not_own_every_east_african_culture_province_in_east_africa_region_tt;[This.GetTitledFirstName] owns every province of §YEthiopian, Nubian or Somali culture§! in the §YEast Africa§! region\n§YINFO:§! A list of missing provinces is provided in the tooltip for the "take decision" button.;;;;;;;;;;;;;x
# Tooltips (Decision effect block)
emb_east_african_unity_this_character_is_given_adjudicator_nickname_tt;[This.GetTitledFirstName] becomes known as §Y'the Adjudicator'§!;;;;;;;;;;;;;x
emb_east_african_unity_info_list_of_missing_provinces_tt;\n§YINFO:§! The following provinces are required to form the bloodline (they have §YEthiopian, Nubian or Somali culture§! and are located in §YEast Africa§!), but they are NOT owned by [This.GetTitledFirstName]:;;;;;;;;;;;;;x
# Special retinue unit names
EMB_RETTYPE_CUL_ETHIO;§G(EMB)§! Ethiopian Skirmisher;§G(EMB)§! Harceleur éthiopien;§G(EMB)§! Äthiopische Plänkler;;§G(EMB)§! Hostigador etíope;;;;;;;;;x
EMB_RETTYPE_CUL_NUBIAN;§G(EMB)§! [nubian.GetName] Archers;§G(EMB)§! Archers [nubian.GetName];§G(EMB)§! [nubian.GetName]e Bogenschützen;;§G(EMB)§! Arqueros [nubian.GetName]s;;;;;;;;;x
EMB_RETTYPE_CUL_SOMALI;§G(EMB)§! [somali.GetName] Skirmishers;§G(EMB)§! Tirailleurs [somali.GetName];§G(EMB)§! [somali.GetName]e Plänkler;;§G(EMB)§! Escaramuzadores [somali.GetName];;;;;;;;;x
# Special building names - Tribal
emb_tb_culture_ethiopian_1;§G(EMB)§! [ethiopian.GetName] Drilling Grounds;§G(EMB)§! Camp [ethiopian.GetName];§G(EMB)§! [ethiopian.GetName]es Reitgelände;;§G(EMB)§! Campo de entrenamiento [ethiopian.GetName];;;;;;;;;x
emb_tb_culture_ethiopian_2;§G(EMB)§! [ethiopian.GetName] Drilling Grounds;§G(EMB)§! Camp [ethiopian.GetName];§G(EMB)§! [ethiopian.GetName]es Reitgelände;;§G(EMB)§! Campo de entrenamiento [ethiopian.GetName];;;;;;;;;x
emb_tb_culture_ethiopian_3;§G(EMB)§! [ethiopian.GetName] Drilling Grounds;§G(EMB)§! Camp [ethiopian.GetName];§G(EMB)§! [ethiopian.GetName]es Reitgelände;;§G(EMB)§! Campo de entrenamiento [ethiopian.GetName];;;;;;;;;x
emb_tb_culture_ethiopian_4;§G(EMB)§! [ethiopian.GetName] Drilling Grounds;§G(EMB)§! Camp [ethiopian.GetName];§G(EMB)§! [ethiopian.GetName]es Reitgelände;;§G(EMB)§! Campo de entrenamiento [ethiopian.GetName];;;;;;;;;x
emb_tb_culture_nubian_1;§G(EMB)§! [nubian.GetName] Warrior Barracks;§G(EMB)§! Camp de guerriers [nubian.GetName];§G(EMB)§! [nubian.GetName]e Kriegerbaracken;;§G(EMB)§! Cuarteles de guerreros [nubian.GetName];;;;;;;;;x
emb_tb_culture_nubian_2;§G(EMB)§! [nubian.GetName] Warrior Barracks;§G(EMB)§! Camp de guerriers [nubian.GetName];§G(EMB)§! [nubian.GetName]e Kriegerbaracken;;§G(EMB)§! Cuarteles de guerreros [nubian.GetName];;;;;;;;;x
emb_tb_culture_nubian_3;§G(EMB)§! [nubian.GetName] Warrior Barracks;§G(EMB)§! Camp de guerriers [nubian.GetName];§G(EMB)§! [nubian.GetName]e Kriegerbaracken;;§G(EMB)§! Cuarteles de guerreros [nubian.GetName];;;;;;;;;x
emb_tb_culture_nubian_4;§G(EMB)§! [nubian.GetName] Warrior Barracks;§G(EMB)§! Camp de guerriers [nubian.GetName];§G(EMB)§! [nubian.GetName]e Kriegerbaracken;;§G(EMB)§! Cuarteles de guerreros [nubian.GetName];;;;;;;;;x
emb_tb_culture_somali_1;§G(EMB)§! [somali.GetName] Light Infantry Barracks;§G(EMB)§! Camp d'inf. légère [somali.GetName];§G(EMB)§! [somali.GetName]e Baracken für leichte Infanterie;;§G(EMB)§! Cuarteles de infantería ligera [somali.GetName];;;;;;;;;x
