######################################
# Automatic invitation to Stargazing #
######################################
#
# Decision
expd_herm_auto_stargazing;(ED:H) Invite a random fellow Hermetic to Stargazing;;;;;;;;;;;;;x
expd_herm_auto_stargazing_desc;A random fellow Hermetic will be chosen, and you will invite them to stargazing with you. (Priority will be given to people who are more likely to lead to a favourable outcome.);;;;;;;;;;;;;x
#
# Tooltips
expd_herm_this_character_is_not_incapable_busy_or_inaccessible_tt;Is NOT §Yincapable, inaccessible or otherwise busy§!;;;;;;;;;;;;;x
expd_herm_this_character_has_not_recently_sent_invitations_to_stargazing_tt;Has NOT recently sent an invitation to stargazing (cooldown expires §Y[Root.inviting_to_stargazing.GetExpiryDate]§!);;;;;;;;;;;;;x
expd_herm_this_character_has_not_recently_performed_stargazing_tt;Has NOT invited to stargazing in the past three years (cooldown expires §Y[Root.stargazing_timer.GetExpiryDate]§!);;;;;;;;;;;;;x
expd_herm_this_character_does_not_have_a_communicable_disease_tt;Does NOT have a §Ycommunicable disease§!;;;;;;;;;;;;;x
expd_herm_invitations_only_between_feb_and_aug_to_ensure_good_weather_tt;The month is between §YFebruary§! and §YAugust§! (to ensure good weather);;;;;;;;;;;;;x
expd_herm_there_is_at_least_one_candidate_for_stargazing_tt;There is at least one valid guest, with mutual opinion >= 0;;;;;;;;;;;;;x
expd_herm_an_invitation_to_stargazing_will_be_sent_to_a_fellow_member_tt;An §YInvitation to Stargazing§! will be sent to a fellow Hermetic;;;;;;;;;;;;;x
