#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
already_sent_nap;[Root.GetTitledName] has not recently been sent an offer for a Friendly Non-Aggression-Pact;[Root.GetTitledName] n'a pas récemment reçu d'offre pour un pacte de non-agression;[Root.GetTitledName] wurde in letzter Zeit kein Vorschlag für einen Nichtangriffspakt geschickt;;Spanish.;;;;;;;;;x
rejected_nap;Rejected Friendly Non-Aggression-Pact;Pacte de non-agression rejeté.;Nichtangriffspakt abgelehnt;;Spanish.;;;;;;;;;x
nap_non_aggression_pact;Offer Friendly Non-Aggression-Pact;Offre de pacte de non-agression;Bietet einen Nichtangriffspakt an;;Spanish.;;;;;;;;;x
nap_non_aggression_pact_desc;Since we are on such excellent terms, it would be prudent to offer a Non-Aggression-Pact!;Puisque nous sommes en excellent termes, il serait prudent d'établir un pacte de non-agression.;Da wir uns persönlich sehr nahe stehen, wäre es weise einen Nichtangriffspakt einzugehen.;;Spanish.;;;;;;;;;x
EVTDESC_Nap_100;I hope this letter finds you well, friend. As we are close like family, would you care to cement our friendship with a non-aggression pact? Signed, [FromFrom.GetTitledName].;J'espère que cette lettre vous plaira, mon ami(e). Comme nous sommes proches, voudriez-vous sceller notre amitié à l'aide d'un pacte de non-agression ? Signé, [FromFrom.GetTitledName].;Lieber [Root.GetTitledName], ich hoffe, dieser Brief erreicht euch bei bester Gesundheit. Aufgrund unsere engen Verbundenheit schlage ich vor, dass wir unsere Freundschaft mit einem Nichtangriffpakt noch weiter untermauern. Gezeichnet, euer Freund [FromFrom.GetTitledName].;;Spanish.;;;;;;;;;x
EVTOPTA_Nap_100;I accept your Non-Aggression-Pact!;J'accepte votre pacte de non-agression !;Ich akzeptiere den Vorschlag für einen Nichtangriffspakt!;;Spanish.;;;;;;;;;x
EVTOPTB_Nap_100;We're actually not that close.;Nous ne sommes pas si proche.;So nahe stehen wir uns eigentlich doch nicht.;;Spanish.;;;;;;;;;x
EVTDESC_Nap_101;Dear [Root.GetTitledName], Of course I accept your Non-Aggression-Pact! Why would we ever go to war, except as allies? Signed, [From.GetTitledName].;Cher [Root.GetTitledName], Bien sûr, j'accepte votre pacte de non-agression. Pourquoi irions-nous jusqu'à la guerre, sinon en tant qu'alliés ? Signé, [From.GetTitledName].;Lieber [Root.GetTitledName], natürlich akzeptiere ich euren Vorschlag für einen Nichtangriffspakt! Warum sollten wir jemals miteinander in den Krieg ziehen, außer als Verbündete? Gezeichnet, [From.GetTitledName].;;Spanish.;;;;;;;;;x
EVTOPTA_Nap_101;Excellent.;Parfait !;Ausgezeichnet.;;Spanish.;;;;;;;;;x
EVTDESC_Nap_102;Dear [Root.GetTitledName], Unfortunately, I do not find it in my best interests to agree to any non-aggression-pact. Signed, [From.GetTitledName].;Cher [Root.GetTitledName], malheureusement, ce n'est pas dans mes intérêts que d'accepter un pacte de non-agression. Signé, [From.GetTitledName].;Sehr geehrter [Root.GetTitledName], leider liegt es zurzeit nicht in meinem Interesse einen Nichtangriffspakt mit euch zu unterzeichnen. Gezeichnet, [From.GetTitledName].;;Spanish.;;;;;;;;;x
EVTOPTA_Nap_102;Unfortunate.;Dommage.;Bedauerlich.;;Spanish.;;;;;;;;;x
