# Bloodline
emb_mega_builder;Blood of the Extravagant Expansionist;;;;;;;;;;;;;x
emb_mega_builder_desc;[Root.GetTitledFirstName]'s massive building programme eclipsed anything the world has ever seen, before or since. [Root.GetHerHisCap] descendants will benefit from [Root.GetHerHis] hard-earned knowledge about efficient construction and realm management.;;;;;;;;;;;;;x
# Dynamic bloodline name
emb_mega_builder_name_default;Blood of the Extravagant Expansionist;;;;;;;;;;;;;x
emb_mega_builder_name_architect;Blood of the Supreme Architect;;;;;;;;;;;;;x
emb_mega_builder_name_carpenter;Blood of the Grandmaster Carpenter;;;;;;;;;;;;;x
emb_mega_builder_name_founder;Blood of the Glorious Founder;;;;;;;;;;;;;x
EMBMegaBuilder_100_BloodlineName_TT_Default;The bloodline will be known as: §YBlood of the Extravagant Expansionist§!;;;;;;;;;;;;;x
EMBMegaBuilder_100_BloodlineName_TT_Architect;The bloodline will be known as: §YBlood of the Supreme Architect§!;;;;;;;;;;;;;x
EMBMegaBuilder_100_BloodlineName_TT_Carpenter;The bloodline will be known as: §YBlood of the Grandmaster Carpenter§!;;;;;;;;;;;;;x
EMBMegaBuilder_100_BloodlineName_TT_Founder;The bloodline will be known as: §YBlood of the Glorious Founder§!;;;;;;;;;;;;;x
# Bloodline activation conditions
emb_mega_builder_active_condition_tt_is_founder;Is the bloodline founder;;;;;;;;;;;;;x
emb_mega_builder_active_condition_tt_excellent_stewardship;Is an excellent steward ([EMBMegaBuilder_CL_FortuneBuilder], [EMBMegaBuilder_CL_MidasTouched], or [EMBMegaBuilder_CL_Stewardship25]);;;;;;;;;;;;;x
emb_mega_builder_active_condition_tt_relevant_traits;Has a relevant lifestyle trait ([EMBMegaBuilder_CL_Administrator], [EMBMegaBuilder_CL_Architect], [EMBMegaBuilder_CL_Scholar]);;;;;;;;;;;;;x
emb_mega_builder_active_condition_tt_education_is_being_upgraded;Is a child whose stewardship education is being upgraded;;;;;;;;;;;;;x
emb_mega_builder_active_condition_tt_has_constructed_10_new_holdings;Has constructed 10 new holdings (currently: [EMBMegaBuilder_CL_Constructed10]);;;;;;;;;;;;;x
emb_mega_builder_active_condition_tt_nomadic_tribal;Is NOT §Ytribal§! or §Ynomadic§!;;;;;;;;;;;;;x
