#
# Intrigue menu decision: show global menu
edmp_global_menu_show;(ED:MP) Show Global Rules Admin Menu;;;;;;;;;;;;;x
edmp_global_menu_show_desc;Manage dynamic global game rules;;;;;;;;;;;;;x
edmp_global_menu_not_currently_open_for_anyone_tt;§YNo-one§! has the §M(ED:MP)§! Global Menu open;;;;;;;;;;;;;x
edmp_global_menu_popup_event_tt;Opens the §M(ED:MP)§! Global Menu;;;;;;;;;;;;;x
#
# Self-targeted debug decision: remove the modifier that's making the global menu seem open
edmp_global_menu_debug_remove_modifier;§R(ED:MP) Debug - Reset Global Menu§!;;;;;;;;;;;;;x
edmp_global_menu_debug_remove_modifier_desc;Reset the global flag that tracks whether the global menu is open.\n§RWARNING!§! If you do this while anyone actually has the menu open, multiple people will be able to change global rules simultaneously, which will probably cause severe confusion!;;;;;;;;;;;;;x
edmp_global_menu_open_flag_removed_tt;§M(ED:MP)§! "Global Menu Open" flag §Gcleared§!;;;;;;;;;;;;;x
#
# Generic event text
edmp_global_evtopt_exit;Exit;;;;;;;;;;;;;x
edmp_global_evtopt_exit_no_change;Exit (without making any changes);;;;;;;;;;;;;x
edmp_global_evtopt_cancel_and_exit;Cancel & Exit;;;;;;;;;;;;;x
edmp_global_evtopt_save_and_exit;Save & Exit;;;;;;;;;;;;;x
edmp_global_checkmark_checked;X;;;;;;;;;;;;;x
edmp_global_checkmark_unchecked;§g-§!;;;;;;;;;;;;;x
#
# Main/Global menu
edmp_global_1000_title;(ED:MP) Global Rules Admin Menu;;;;;;;;;;;;;x
edmp_global_1000_desc;Please select the dynamic game rule you wish to manage:;;;;;;;;;;;;;x
edmp_global_1000_evtopt_cbs;Casus Belli;;;;;;;;;;;;;x
edmp_global_1000_evtopt_realm_size;Realm Size (Currently: [edmp_global_realm_size_limit_status_one_line]);;;;;;;;;;;;;x
#
#
#
#
#
# CB menu
edmp_global_2000_title;(ED:MP) Casus Belli;;;;;;;;;;;;;x
edmp_global_2000_desc;Please select the CB rule you wish to manage:;;;;;;;;;;;;;x
