#template;;;;;;;;;;;;;;x
#
# Invasions - Triggers
edmp_global_invasions_are_disabled_for_everyone_tt;§M(ED:MP)§! Invasions are disabled for all human players;;;;;;;;;;;;;x
edmp_global_invasions_are_not_disabled_for_everyone_tt;§M(ED:MP)§! Invasions are NOT disabled for all human players;;;;;;;;;;;;;x
edmp_global_invasion_permissions_are_managed_individually_tt;§M(ED:MP)§! Human players' invasion permissions are managed individually;;;;;;;;;;;;;x
edmp_global_invasion_permissions_are_not_managed_individually_tt;§M(ED:MP)§! Human players' invasion permissions are NOT managed individually;;;;;;;;;;;;;x
edmp_global_invasions_are_enabled_for_everyone_tt;§M(ED:MP)§! Invasions are enabled for all human players;;;;;;;;;;;;;x
edmp_global_invasions_are_not_enabled_for_everyone_tt;§M(ED:MP)§! Invasions are NOT enabled for all human players;;;;;;;;;;;;;x
#
# Invasions - Effects
edmp_global_invasions_set_disabled_for_everyone_tt;§M(ED:MP)§! The Invasion CB will be §Rdisabled§! for all human players;;;;;;;;;;;;;x
edmp_global_invasions_set_permissions_managed_individually_tt;§M(ED:MP)§! The ability of human players to use the Invasion CB will be §Yspecified individually§!, for each player and each target kingdom;;;;;;;;;;;;;x
edmp_global_invasions_set_enabled_for_everyone_tt;§M(ED:MP)§! The Invasion CB will be §Genabled§! for all human players;;;;;;;;;;;;;x
