#
# Tooltips in decisions
edmp_invasion_permission_notification_sent_tt;§MAll players will be notified of this change!§!;;;;;;;;;;;;;x
#
# Events
edmp_ipn_title;MP Invasion Rule Change;;;;;;;;;;;;;x
edmp_ipn_2001_desc;[edmp_ipn_character.GetTitledFirstName] (Username: [edmp_ipn_character.GetHumanName]) has been granted permission to invade the [edmp_ipn_title.GetFullName]!;;;;;;;;;;;;;x
edmp_ipn_3000_desc;[edmp_ipn_character.GetTitledFirstName] (Username: [edmp_ipn_character.GetHumanName]) has had all invasion permissions revoked!;;;;;;;;;;;;;x
edmp_ipn_3001_desc;[edmp_ipn_character.GetTitledFirstName] (Username: [edmp_ipn_character.GetHumanName]) has had their permission to invade the [edmp_ipn_title.GetFullName] revoked!;;;;;;;;;;;;;x
#
# Event options (implied player reactions to this news)
edmp_ipn_evtopt_excellent_new_cb;Excellent! The world will tremble before me!;;;;;;;;;;;;;x
edmp_ipn_evtopt_excellent_safe;Excellent! I am safe from that warmonger!;;;;;;;;;;;;;x
edmp_ipn_evtopt_curses_threatened;Curses! That warmonger wishes to conquer my realm!;;;;;;;;;;;;;x
edmp_ipn_evtopt_curses_cb_lost;Curses! I will have to find another way to continue my conquests...;;;;;;;;;;;;;x
edmp_ipn_evtopt_ok_unaffected;Fortunately, that's someone else's problem.;;;;;;;;;;;;;x
