#
# Tooltips in decisions
edmp_subjugation_permission_notification_sent_tt;§MAll players will be notified of this change!§!;;;;;;;;;;;;;x
#
# Events
edmp_spn_title;(ED:MP) Subjugation Rule Change;;;;;;;;;;;;;x
edmp_spn_2001_desc;[edmp_spn_character.GetTitledFirstName] (Username: [edmp_spn_character.GetHumanName]) has been granted permission to subjugate [edmp_spn_target.GetTitledFirstName]!;;;;;;;;;;;;;x
edmp_spn_3000_desc;[edmp_spn_character.GetTitledFirstName] (Username: [edmp_spn_character.GetHumanName]) has had all subjugation permissions revoked!;;;;;;;;;;;;;x
edmp_spn_3001_desc;[edmp_spn_character.GetTitledFirstName] (Username: [edmp_spn_character.GetHumanName]) has had their permission to subjugate [edmp_spn_target.GetTitledFirstName]!;;;;;;;;;;;;;x
#
# Event options (implied player reactions to this news)
edmp_spn_evtopt_excellent_new_cb;Excellent! The world will tremble before me!;;;;;;;;;;;;;x
edmp_spn_evtopt_excellent_safe;Excellent! I am safe from that warmonger!;;;;;;;;;;;;;x
edmp_spn_evtopt_curses_threatened;Curses! That warmonger wishes to conquer my realm!;;;;;;;;;;;;;x
edmp_spn_evtopt_curses_cb_lost;Curses! I will have to find another way to continue my conquests...;;;;;;;;;;;;;x
edmp_spn_evtopt_ok_unaffected;Fortunately, that's someone else's problem.;;;;;;;;;;;;;x
