# Bloodline (very slightly modified pure_murder_bloodline_03)
mp_tallek_bloodline_himalzur;Sly Blood of [This.GetTitledFirstName];Sang sournois [This.Get_du_TitledFirstName];Listiges Blut von [This.GetTitledFirstName];;Sangre taimada de [This.GetTitledFirstName];;;;;;;;x
mp_tallek_bloodline_himalzur_desc;A cold and relentless murderer, [This.GetFirstName] has become notorious across [This.GetHerHis] realm for making people disappear without trace.;Un[This.Get_E] tueu[This.GetRSe] froid[This.Get_E] et implacable, [This.GetFirstName] a la réputation dans son pays de faire disparaître les gens sans laisser de trace.;[This.GetFirstName] ist als kalter und unbarmherziger Mörder berüchtigt und lässt Menschen spurlos verschwinden.;;Asesin[This.GetOA] frí[This.GetOA] e implacable, [This.GetFirstName] se ha hecho célebre en su reino por hacer que la gente desaparezca sin dejar rastro.;;;;;;;;x
# Imported decision
mp_tallek_bloodline_effect_murder_deflection;Can restore reputation through §YObfuscation§!.;Peut restaurer la réputation grâce à un §Ysubterfuge§!.;Kann Ruf durch §YVerschleierung§! wiederherstellen.;;Puede restaurar la reputación con §Yconfusión§!;;;;;;;;x
mp_tallek_murder_deflection_decision;Obfuscate;Avoir recours à un subterfuge;Verschleiern;;Confundir;;;;;;;;x
mp_tallek_murder_deflection_decision_desc;Spend §YPrestige§! to cast doubt on the validity of the crimes you have recently committed.;Dépensez du §Yprestige§! pour jeter le doute sur la véracité des rumeurs à propos des crimes que vous avez commis récemment.;Wendet §YPrestige§! auf, um Zweifel an der Gültigkeit Eurer kürzlich begangenen Verbrechen zu verbreiten.;;Gasta §Yprestigio§! para cuestionar la validez de los crímenes que cometiste recientemente.;;;;;;;;x
mp_tallek_tooltip_murder_deflection_decision;Begin obfuscating.;Vous avez recours à un subterfuge.;Verschleierung beginnen;;Confundiendo.;;;;;;;;x
mp_tallek_tooltip_deflection_cooldown;Must NOT have used this decision in the past §Y10 years§! (cooldown expires: §Y[This.deflection_decision_cooldown.GetExpiryDate]§!);N'a pas pris cette décision depuis §Y10 ans§! (temps de recharge expire: §Y[This.deflection_decision_cooldown.GetExpiryDate]§!);Darf diese Entscheidung NICHT bereits in den letzten §Y10 Jahren§! benutzt haben (Abklingzeit läuft ab: §Y[This.deflection_decision_cooldown.GetExpiryDate]§!);;NO debe haber usado esta decisión en los últimos §Y10 años§! (tiempo de reutilización expira: §Y[This.deflection_decision_cooldown.GetExpiryDate]§!);;;;;;;;x
# Modifier (hidden, but lacks loc)
deflection_decision_cooldown;Obfuscation cooldown;;;;;;;;;;;;x
deflection_decision_cooldown_desc;Obfuscation cooldown;;;;;;;;;;;;x
# Imported events
mp_tallek_EVTDESCHF24107;A few well-placed words, mixed with a bit of bribery and coercion are surely all that is needed to obfuscate the validity of some of the vile rumors that my enemies are spreading about me...;Quelques mots bien placés, mêlés à un peu de corruption et de coercition, sont sûrement tout ce qui est nécessaire pour remettre en cause la véracité de certaines des terribles rumeurs que mes ennemis répandent sur moi...;Ein paar gut platzierte Worte, vermischt mit Bestechungen und Erpressung sind alles, was nötig ist, um die Gültigkeit einiger der abscheulichen Gerüchte, die meine Feinde über mich verbreiten, zu verschleiern...;;Unas palabras bien dichas, mezcladas con un poco de soborno y coacción es todo lo que necesito para confundir la validez de algunos de los rumores viles que mis enemigos difunden sobre mí…;;;;;;;;x
mp_tallek_EVTOPTAHF24107;I would never raise a hand against my kin!;Je n'aurais jamais levé la main contre un parent !;Ich würde meine Hand nie gegen meine Verwandten erheben!;;¡Nunca levantaría la mano contra mi familia!;;;;;;;;x
mp_tallek_EVTOPTBHF24107;How could I possibly be a murderer?;Comment pourrais-je être un[Root.Get_E] meurtri[Root.GetErEre] ?;Wie könnte ich schon ein Mörder sein?;;¿Cómo podría ser un asesino?;;;;;;;;x
mp_tallek_EVTOPTCHF24107;How valid can rumors without evidence be?;Quelle est la validité des rumeurs sans preuve ?;Wie wahr können Gerüchte ohne Beweise schon sein?;;¿De qué valen unos rumores sin pruebas?;;;;;;;;x
mp_tallek_EVTOPTDHF24107;I will think of some better excuses.;Je vais réfléchir aux meilleures excuses possible.;Ich überlege mir bessere Ausreden.;;Pensaré mejores excusas.;;;;;;;;x
mp_tallek_EVTDESCHF24108;Keeping together this intricate web of lies holding my good reputation is proving to be an increasingly difficult task.;Maintenir cet enchevêtrement de mensonges qui me confère une bonne réputation s'avère une tâche de plus en plus difficile.;Es ist zunehmen schwieriger dieses komplizierte Netzt von Lügen aufrechtzuerhalten, das meinen guten Ruf bewahrt.;;Mantener unida esta intrincada red de mentiras que mantienen mi buena reputación está resultando ser una tarea cada vez más difícil.;;;;;;;;x
mp_tallek_EVTOPTAHF24108;So many things to remember...;Il y a tant de choses dont il faut se souvenir...;So viele Dinge an die ich denken muss...;;Hay tanto que recordar…;;;;;;;;x
mp_tallek_EVTDESCHF24109;Sometimes I wonder whether my courtiers really believe in the lies I tell them, if I really am as blameless to their eyes as I hope to be, or if instead I am surrounded by smiling enemies.;Parfois, je me demande si mes courtisans croient vraiment aux mensonges que je leur dis, si je suis vraiment aussi irréprochable à leurs yeux que je l'espère, ou si au contraire je suis entouré[Root.Get_E] d'ennemis hypocrites.;Manchmal frage ich mich, ob meine Höflinge wirklich an die Lügen glauben, die ich ihnen erzähle und dadurch wirklich so unschuldig aussehe, wie ich es mir hoffe oder ich nur von Feinden umgeben bin, die so tun als wäre alles gut.;;A veces me pregunto si mis cortesanos realmente creen las mentiras que les digo, si tan inocente soy a sus ojos como espero o si en cambio me rodean enemigos sonrientes.;;;;;;;;x
mp_tallek_EVTOPTAHF24109;What are they thinking?;Que pensent-ils vraiment ?;Was denken sie nur?;;¿En qué están pensando?;;;;;;;;x
mp_tallek_EVTDESCHF24110;Keeping all these lies together is quite the challenging task. All this exercise has sharpened my tongue beyond what I thought to be possible.;Maintenir cet enchevêtrement de mensonges est vraiment une tâche ardue. Cet exercice a affûté ma langue au-delà de ce que je pensais être possible.;All diese Lügen zusammenzuhalten ist eine schwierige Aufgabe. All diese Übung darin hat meine Zunge aber über das, was ich für möglich hielt, geschärft.;;Mantener todas estas mentiras juntas es todo un reto. Todo este ejercicio me ha afilado la lengua más allá de lo que creía posible.;;;;;;;;x
mp_tallek_EVTOPTAHF24110;There is always room for improvement.;Il est toujours possible de s'améliorer.;Es gibt immer Platz für Verbesserung.;;Siempre se puede mejorar.;;;;;;;;x
