#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
north_akavir_trade;Northern Akaviri Trade;;;;;;;;;;;;;x
north_akavir_trade_desc;Akaviri and Tsaeci merchants ships are a common sight in this port, plying their trade in the waters of the Strait of Lautah, the Topara River, and the Far Sea.;;;;;;;;;;;;;x
akavir_river_trade;Meratises River Trade;;;;;;;;;;;;;x
akavir_river_trade_desc;The Meratsies River has long been a conduit for trade, and flat-bottomed riverboats loaded with goods fill the ports along the river's course.;;;;;;;;;;;;;x
volatra_trade_route;Volatran Road;;;;;;;;;;;;;x
volatra_trade_route_desc;Trade and troops alike flow along ancient roads here, most of which were built to lead to Voltara, one of the oldest cities in all of Akavir.;;;;;;;;;;;;;x
akavir_mountain_trade;Akavir Mountain Trade;;;;;;;;;;;;;x
akavir_mountain_trade_desc; Roads and trails laboriously cut through the mountains and jungles of southern Akavir.;;;;;;;;;;;;;x
kan_so_trade;Simian Gulf Trade;;;;;;;;;;;;;x
kan_so_trade_desc;Placeholder text because monkey lore hard;;;;;;;;;;;;;x
po_tun_trade;Po Tun Desert Trade;;;;;;;;;;;;;x
po_tun_trade_desc;Caravanserais dot the lake-oases of the desert, with troops and trade flowing over the dunes along well-treaded caravan routes.;;;;;;;;;;;;;x
lang_din_trade;Simian Sea Trade;;;;;;;;;;;;;x
lang_din_trade_desc;Placeholder text because monkey lore hard;;;;;;;;;;;;;x
islander_trade;Quey Islander Trade;;;;;;;;;;;;;x
islander_trade_desc;Placeholder text;;;;;;;;;;;;;x
