### Religion ###

dwemer_religion;Divine Metaphysics;;;;;;;;;;;;;x 
DivineMetaphysics;Divine Metaphysics;;;;;;;;;;;;;x
Sundering;Sundering;;;;;;;;;;;;;x
FALSE_GODS;False Gods;;;;;;;;;;;;;x
MUNDUS;Mundus;;;;;;;;;;;;;x
STAT_PIETY_INVENTION;Invention;;;;;;;;;;;;;x
dwemer_religion_DESC;Dwemer refute the worship of gods, scorning the Daedra, Aedra, and other religious figures, and believe that through invention and innovation, they could rival the gods themselves. The Dwemer regard magic as simply a tool to be used alongside technology for the purpose of futhering their own goals.;;;;;;;;;;;;;x

### Culture ###

dwemer;Dwemer;;;;;;;;;;;;;x 
dwemer_group;Dwemer Group;;;;;;;;;;;;;x 

### Special Troops ###

RETTYPE_SPHERE;Churarkngd Retinue;;;;;;;;;;;;;x
RETTYPE_CENTURION;Aka Retinue;;;;;;;;;;;;;x
RETTYPE_TECHNOMANCER;Kagrchul Retinue;;;;;;;;;;;;;x
sphere;Spheres;;;;;;;;;;;;;x
sphere_offensive;Sphere Offensive;;;;;;;;;;;;;x
sphere_defensive;Sphere Defensive;;;;;;;;;;;;;x
sphere_morale;Sphere Morale;;;;;;;;;;;;;x
centurion;Centurions;;;;;;;;;;;;;x
centurion_offensive;Centurion Offensive;;;;;;;;;;;;;x
centurion_defensive;Centurion Defensive;;;;;;;;;;;;;x
centurion_morale;Centurion Morale;;;;;;;;;;;;;x

### Government ###

gov_technocratic_monarchy;Technocratic Monarchy;;;;;;;;;;;;;x
technocratic_feudal;Technocratic Feudal;;;;;;;;;;;;;x
technocratic_feudal_desc;Technocratic Feudalism is the government form practiced by the Dwemer people. They operate a meritocracy style of inheritence - only the best from the ruler's family may inherit their domain. As the Dwemer do not have a faith of their own, equivalents of religious institutions are controlled directly by the state.;;;;;;;;;;;;;x

### Bookmark ###

ERA_CHAR_NAME_9992130;Lord Rkungthunch;;;;;;;;;;;;;x
ERA_CHAR_INFO_9992130;Lord Rkungthunch, architect of Alftand - A Dwemer lord rumoured to exist around the time of the interregnum. With six forgotten Dwemer cities between Mournhold and the Reach, Alftand finds itself poised to be become the capital of a restored Dwemer Empire. But, are the tales of the returned Dwemer fantasy born of chaos, or are the steam fortresses of the Dwemer stiring with more than just animunculi?;;;;;;;;;;;;;x
c_alftand;Alftand;;;;;;;;;;;;;x
