#
# Custom wonder
wonder_khajiit_slums;The Maze;;;;;;;;;;;;;x
wonder_khajiit_slums_desc;This sprawling informal settlement is an excellent source of both manpower and innovation.;;;;;;;;;;;;;x
wonder_khajiit_slums_construction_desc;This sprawling informal settlement will be an excellent source of both manpower and innovation.;;;;;;;;;;;;;;x
#
# Custom upgrades: Base LI
# 1 = East (close to Senchal)
# 2 = South (close to the port in the province)
# 3 = North
# 4 = West (furthest from Senchal)
upgrade_khajiit_slums_infantry_1;Khajiiti Light Militia: East;;;;;;;;;;;;;x
upgrade_khajiit_slums_infantry_1_desc;A lightly-armed militia which guards the eastern portion of the province, close to the capital.;;;;;;;;;;;;;x
upgrade_khajiit_slums_infantry_2;Khajiiti Light Militia: South;;;;;;;;;;;;;x
upgrade_khajiit_slums_infantry_2_desc;A lightly-armed militia which guards the southern portion of the province, close to the port.;;;;;;;;;;;;;x
upgrade_khajiit_slums_infantry_3;Khajiiti Light Militia: North;;;;;;;;;;;;;x
upgrade_khajiit_slums_infantry_3_desc;A lightly-armed militia which guards the northern portion of the province.;;;;;;;;;;;;;x
upgrade_khajiit_slums_infantry_4;Khajiiti Light Militia: West;;;;;;;;;;;;;x
upgrade_khajiit_slums_infantry_4_desc;A lightly-armed militia which guards the western portion of the province, furthest from the capital.;;;;;;;;;;;;;x
#
# Custom upgrades: Techpoints
upgrade_khajiit_slums_tech_mil;Military Innovators;;;;;;;;;;;;;x
upgrade_khajiit_slums_tech_mil_desc;An informal organisation of innovators, focusing on potential improvements in military technology.;;;;;;;;;;;;;x
upgrade_khajiit_slums_tech_eco;Economic Innovators;;;;;;;;;;;;;x
upgrade_khajiit_slums_tech_eco_desc;An informal organisation of innovators, focusing on potential improvements in economic technology.;;;;;;;;;;;;;x
upgrade_khajiit_slums_tech_cul;Cultural Innovators;;;;;;;;;;;;;x
upgrade_khajiit_slums_tech_cul_desc;An informal organisation of innovators, focusing on potential improvements in cultural technology.;;;;;;;;;;;;;x
