# Main wealth line
BCT_Wealth_Actual;\nWealth: [BCT_Wealth_Amount]\nWealth Inheritance:[BCT_Wealth_Inheritance_Ruler][BCT_Wealth_Inheritance_NoRelatives][BCT_Wealth_Inheritance_Ancestors][BCT_Wealth_Inheritance_Siblings][BCT_Wealth_Inheritance_Descendants];;;;;;;;;;;;;x
# Rulers' wealth can't (easily) be inherited
BCT_Wealth_Inheritance_Ruler_Actual; §R(Ruler)§!;;;;;;;;;;;;;x
BCT_Wealth_Inheritance_NoRelatives_Actual; §G(No living relatives)§!;;;;;;;;;;;;;x
BCT_Wealth_Inheritance_Ancestors_Actual; §Y(Ancestors)§!;;;;;;;;;;;;;x
BCT_Wealth_Inheritance_Descendants_Actual; §Y(Descendants)§!;;;;;;;;;;;;;x
BCT_Wealth_Inheritance_Siblings_Actual; §Y(Siblings)§!;;;;;;;;;;;;;x
# Wealth amount
BCT_Wealth_LT0;§R<0§!;;;;;;;;;;;;;x
BCT_Wealth_0_50;§g0-50§!;;;;;;;;;;;;;x
BCT_Wealth_50_150;50-150;;;;;;;;;;;;;x
BCT_Wealth_150_500;§M150-500§!;;;;;;;;;;;;;x
BCT_Wealth_500_2000;§l500-2000§!;;;;;;;;;;;;;x
BCT_Wealth_GT2000;§P>2000§!;;;;;;;;;;;;;x
