#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mexikha_offmap_boon_decisions_enabled_trigger_cd_tt;Has NOT requested a boon from §Y[Root.Offmap.Ruler.GetShortMexikhanHuetlatoaniName]§! within the last year\n;;;;;;;;;;;;;x
mexikha_offmap_tribute_decisions_enabled_trigger_cd_tt;Has NOT sent tribute to §Y[Root.Offmap.Ruler.GetShortMexikhanHuetlatoaniName]§! within the last year\n;;;;;;;;;;;;;x
mexikha_boon_available_tt;§Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§! has NOT granted you a boon within the last year;;;;;;;;;;;;;x
mexikha_tribute_available_tt;Paying tribute to §Y[Root.Offmap.Ruler.GetMediumMexikhanHuetlatoaniName]§! is currently available.;;;;;;;;;;;;;;x
peace_deal_with_mexikha;Peace Deal With Mexikha;;;;;;;;;;;;;x
peace_deal_with_mexikha_desc;Mexikha will not attack this ruler while the peace deal is active.;;;;;;;;;;;;;x

mexikha_offmap_decisions_enabled_trigger_war_tt;Is at peace with §Y[From.GetTitledFirstName]§!;;;;;;;;;;;;;;x

tributaries_of_MP;Imperial Tributary;Tributaire impérial;Kaiserlicher Tributstaat;;Tributario imperial;;;;;;;;;x
title_mexikha_emperor;Huetlatoani;Huetlatoani;Huetlatoani;;Huetlatoani;;;;;;;;;x
title_mexikha_emperor_female;Cihuatlatoani;Cihuatlatoani;Cihuatlatoani;;Cihuatlatoani;;;;;;;;;x
order_emperor_nahuatl;Cuauhtlatoani;Cuauhtlatoani;Cuauhtlatoani;;Cuauhtlatoani;;;;;;;;;x
order_emperor_female_nahuatl;Cihuatlatoani;Cihuatlatoani;Cihuatlatoani;;Cihuatlatoani;;;;;;;;;x
order_king_nahuatl;Tlatoani;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;;x
order_king_female_nahuatl;Tlatoani;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;;x
order_duke_nahuatl;Huecalpixqui;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
order_duke_female_nahuatl;Huecalpixqui;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
order_count_nahuatl;Calpixqui;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
order_count_female_nahuatl;Calpixqui;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
order_baron_nahuatl;Quauhpilli;Quauhpilli;Quauhpilli;;Quauhpilli;;;;;;;;;x	# actually created by Moctezuma in the mid 15C.
order_baron_female_nahuatl;Quauhpilli;Quauhpilli;Quauhpilli;;Quauhpilli;;;;;;;;;x
title_master_mason;Master Mason;;;;;;;;;;;;;;x
String_cihuatlatoani;cihuatlatoani;;;;;;;;;;;;;;x
String_tlatoani;huetlatoani;;;;;;;;;;;;;;x
String_Cihuatlatoani;Cihuatlatoani;;;;;;;;;;;;;;x
String_Tlatoani;Huetlatoani;;;;;;;;;;;;;;x
GetMediumMexikhanTlatoaniName_string;[This.GetTitle] [This.GetFirstName] of the [This.PrimaryTitle.GetFullName];;;;;;;;;;;;;;x
GetShortMexikhanTlatoaniName_string;[This.GetTitle] of the [This.PrimaryTitle.GetFullName];;;;;;;;;;;;;;x
mexikha_mexikha;Mexikha;;;;;;;;;;;;;;x
mexikha_mexikha_full;Mexikhan Empire;;;;;;;;;;;;;;x
teotihuacan_mexikha;Teotihuacan;;;;;;;;;;;;;;x
teotihuacan_mexikha_full;Teotihuacan Empire;;;;;;;;;;;;;;x
toltec_mexikha;Toltec;;;;;;;;;;;;;;x
toltec_mexikha_full;Toltec Empire;;;;;;;;;;;;;;x
mixotlan_mexikha;Mixotlan;;;;;;;;;;;;;;x
mixotlan_mexikha_full;Mixotlan Empire;;;;;;;;;;;;;;x
zapatatec_mexikha;Zapotec;;;;;;;;;;;;;;x
zapatatec_mexikha_full;Zapotec Empire;;;;;;;;;;;;;;x
tlaxcala_mexikha;Tlaxcala;;;;;;;;;;;;;;x
tlaxcala_mexikha_full;Tlaxcala Empire;;;;;;;;;;;;;;x
aztec_mexikha;Aztec;;;;;;;;;;;;;;x
aztec_mexikha_full;Aztec Empire;;;;;;;;;;;;;;x
obsidian_mexikha;Obsidian Empire;;;;;;;;;;;;;;x
