#
# Protected inheritance laws
# (Localisation copy/pasted from vanilla out_of_realm_inheritance_law in v2_50b.csv)
#
# Group
expd_at_out_of_realm_inheritance_laws;Controlled Realm Inheritance;Régulation de l'héritage;Kontrolle der Titelvererbung;;Herencia controlada por el reino;;;;;;;;;x
expd_at_out_of_realm_inheritance_laws_desc;Passing the controlled realm inheritance law will protect titles within the realm from being inherited by characters loyal to another liege.;La promulgation de la loi sur l'héritage empêchera que les titres au sein du royaume ne soient hérités par des personnages loyaux à un autre seigneur lige.;Durch Verabschiedung des Gesetzes zur "Kontrolle der Titelvererbung" kann verhindert werden, dass Titel aus dem eigenen Reich von Personen, die einem fremden Lehnsherrn unterstehen, geerbt werden. ;;Aprobar la ley de herencia controlada por el reino protegerá títulos dentro del reino de ser heredados por personajes leales a  otro señor.;;;;;;;;;x
# Default (nothing)
expd_at_out_of_realm_inheritance_law_0;Free Inheritance;Héritage libre;Freie Erbschaft;;Herencia libre;;;;;;;;;x
expd_at_out_of_realm_inheritance_law_0_option;Free;Libre;Frei;;Libre;;;;;;;;;x
expd_at_out_of_realm_inheritance_law_0_desc;Vassal titles do not have any special regulations on inheritance outside the realm.;Les titres des vassaux n'ont pas de régulation spécifique quant à l'héritage en dehors du royaume.;Keine besonderen Regelungen für den Fall, dass jemand außerhalb des Reiches den Titel eines Vasallen erbt.;;Los títulos de los vasallos no tienen normas especiales sobre la herencia fuera del reino.;;;;;;;;;x
# Protection
expd_at_out_of_realm_inheritance_law_1;Regulated Inheritance;Héritage réglementé;Regulierte Erbschaft;;Herencia regulada;;;;;;;;;x
expd_at_out_of_realm_inheritance_law_1_option;Illegal;Illégal;Verbot;;Ilegal;;;;;;;;;x
expd_at_out_of_realm_inheritance_law_1_desc;Vassal title inheritance is regulated to disallow a title to pass to another realm.;L'héritage des titres des vassaux est réglementé pour empêcher qu'un titre ne passe à un autre royaume.;Titel eines Vasallen können nicht an Personen, die einem fremden Reich angehören, vererbt werden.;;La herencia de los títulos de vasallos está regulada para impedir que un título pase a otro reino.;;;;;;;;;x
#
# Imperial administration laws
#
# Group
expd_at_imperial_administration_laws;Administration;;;;;;;;;x
expd_at_imperial_administration_laws_desc;These laws govern how society controls and organizes ownership of property and wealth.;;;;;;;;;x
# Default (nothing)
expd_at_imperial_administration_law_0;Basic Tribal Administration;;;;;;;;;x
expd_at_imperial_administration_law_0_option;Basic;;;;;;;;;x
expd_at_imperial_administration_law_0_desc;A tribal society is a hierarchy of landed chieftains, where each person in the system owes fealty to those directly above and commands those directly below. However, compared with the feudal system, chieftains have much less direct control over their vassals.;;;;;;;;;x
# Advanced tribe
expd_at_imperial_administration_law_1;Advanced Tribal Administration;;;;;;;;;x
expd_at_imperial_administration_law_1_option;Advanced;;;;;;;;;x
expd_at_imperial_administration_law_1_desc;This is a more centralised version of the basic tribal administration, allowing for efficient management of a slightly larger realm.\n\nLearned tribal rulers can construct §YHospitals§! and §YCities§! in their realm via a targetted decision on county titles (but the cost is significantly more expensive than normal).;;;;;;;;;x
# Imperial adminstration
expd_at_imperial_administration_law_2;Imperial Administration;;;;;;;;;x
expd_at_imperial_administration_law_2_option;Imperial;;;;;;;;;x
expd_at_imperial_administration_law_2_desc;This system of administration is similar to that of the Roman Empire, with a hierarchy of magistrates and functionaries running daily business in the name of the emperor. However, because we have maintained our tribal government, we cannot apply the Roman system in full and our vassals resent the attempt.\n\nLearned tribal rulers can construct §YHospitals§! and §YCities§! in their realm via a targetted decision on county titles (but the cost is significantly more expensive than normal).;;;;;;;;;x
#
# Hospital construction
#
# Decision text
expd_at_build_hospital_high_prio;§MED-AT: Build Hospital§!;;;;;;;;;x
expd_at_build_hospital_high_prio_desc;Build a §YHospital§! in §Y[Root.GetName]§!;;;;;;;;;x
expd_at_build_hospital;§MED-AT: Build Hospital§!;;;;;;;;;x
expd_at_build_hospital_desc;Build a §YHospital§! in §Y[Root.GetName]§!;;;;;;;;;x
# Skill-based cost
expd_at_this_characters_learning_skill_is_10_to_20_tt;Has §YLearning§! skill between §Y10§! and §Y20§!;;;;;;;;;x
