#
#
# Show/Hide Artifact Filter Decisions
csh_artifact_filter_show_filters;(CSH) Show Artifact Filters;;;;;;;;;;;;;x
csh_artifact_filter_show_filters_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_hide_filters;(CSH) Hide Artifact Filters;;;;;;;;;;;;;x
csh_artifact_filter_hide_filters_desc; ;;;;;;;;;;;;;x
#
#
# Artifact Filter Decisions
csh_artifact_filter_toggle_all_on;(CSH:Filter) Set all filters to "EXCLUDED";;;;;;;;;;;;;x
csh_artifact_filter_toggle_all_on_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_all_off;(CSH:Filter) Set all filters to "INCLUDED";;;;;;;;;;;;;x
csh_artifact_filter_toggle_all_off_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_invert_all;(CSH:Filter) Invert filter settings;;;;;;;;;;;;;x
csh_artifact_filter_invert_all_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_only_unowned_on;(CSH:Filter) Already-Owned: INCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_only_unowned_on_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_only_unowned_off;(CSH:Filter) Already-Owned: EXCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_only_unowned_off_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_armor_on;(CSH:Filter) Armor: INCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_armor_on_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_armor_off;(CSH:Filter) Armor: EXCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_armor_off_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_books_on;(CSH:Filter) Books: INCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_books_on_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_books_off;(CSH:Filter) Books: EXCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_books_off_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_clutter_on;(CSH:Filter) Clutter: INCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_clutter_on_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_clutter_off;(CSH:Filter) Clutter: EXCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_clutter_off_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_mounts_or_pets_on;(CSH:Filter) Mounts & Pets: INCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_mounts_or_pets_on_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_mounts_or_pets_off;(CSH:Filter) Mounts & Pets: EXCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_mounts_or_pets_off_desc; ;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_necklaces_on;(CSH:Filter) Necklaces: INCLUDED - Toggle?;;;;;;;;;;;;;x
csh_artifact_filter_toggle_no_necklaces_on_desc; ;;;;;;;;;;;;;x
