#
# HRE formation decisions (copied from vanilla)
#
expd_cef_hre_form_the_hre_early;Found [e_hre.Title.GetName];Fonder le [e_hre.Title.GetName];[e_hre.Title.GetName] gründen;;[e_hre.Title.GetName] fundado ;;;;;x
expd_cef_hre_form_the_hre_early_desc;Is it not every [Root.GetTitle]'s dream to be recognized as the true successor to the Caesars? I can invoke the translatio imperii and have [Root.RelHead.GetBestName] crown me as ruler of a new Roman Empire!;N'est-ce pas le rêve de tout grand monarque que d'être reconnu comme le successeur légitime des César ? Je peux invoquer la « translatio imperii » et demander [Root.RelHead.Get_only_au_Title][Root.RelHead.GetBestName] de me consacrer souverain[Root.Get_E] d'un nouvel Empire romain !;Ist es nicht der Traum jedes [Root.GetTitle][Root.GetsMale], als der wahre Erbe Caesars anerkannt zu werden? Nach dem Prinzip der translatio imperii kann ich mich von [Root.RelHead.GetBestName] zum Herrscher eines neuen Römischen Reiches krönen lassen!;;¿Acaso no tod[Root.GetOA] [Root.GetTitle] sueña ser reconocido como verdadero sucesor de los césares? ¡Puedo acogerme a la 'translatio imperii' y hacer que [Root.RelHead.GetBestName] me corone como gobernante de un nuevo Imperio romano!;;;;;x
expd_cef_hre_form_the_hre_late;Form the Holy Roman Empire;Constituer le Saint-Empire romain;Errichtet das Heilige Römische Reich;;Del Sagrado Imperio Romano;;;;;;;;;x
expd_cef_hre_form_the_hre_late_desc;With a realm to rival that of Charlemagne, I could be recognized as his true successor and, invoking Translatio Imperii, have [Root.RelHead.GetBestName] crown me Emperor of a new Roman Empire in the west!;Si j'avais un royaume rivalisant avec celui de Charlemagne, on pourrait me reconnaître comme son véritable successeur. En invoquant le principe de Translatio Imperii (transfert de puissance), je pourrais même faire en sorte que [Root.RelHead.Get_only_le_Title][Root.RelHead.GetBestName] me couronne empereur d'un nouvel empire romain de l'Ouest !;Mit einem Reich, das dem von Karl dem Großen gleichkommt, könnte ich als sein wahrer Nachfolger gelten und mich durch die Anrufung der Translatio Imperii von [Root.RelHead.GetBestName] zum Kaiser des neuen Römischen Imperiums des Westens krönen lassen!;; Con un reino para rivalizar con el de Carlomagno, yo podría ser reconocido como su verdadero sucesor e, invocando a Translatio Imperii, que [Root.RelHead.GetBestName] me corone emperador de un Nuevo Imperio Romano en el oeste!;;;;;;;;;x
#
# Informational tooltips
#
expd_cef_hre_info_all_held_kingdoms_in_the_realm_become_part_of_the_hre_tt;§L...§!\nAll §Ykingdoms§! in the realm become de jure part of the §YHoly Roman Empire§!:;;;;;;;;;x
expd_cef_hre_info_all_unheld_de_jure_vassal_kingdoms_become_part_of_the_hre_tt;§L...§!\nAll §Yunheld kingdoms§! that are §Yde jure vassals§! of [Root.GetTitledFirstName] become de jure part of the §YHoly Roman Empire§!:;;;;;;;;;x
expd_cef_hre_info_all_unheld_completely_controlled_kingdoms_become_part_of_the_hre_tt;§L...§!\nAll §Yunheld kingdoms§! that are §Ycompletely controlled§! by [Root.GetTitledFirstName] become de jure part of the §YHoly Roman Empire§!:;;;;;;;;;x
expd_cef_hre_info_all_empires_are_destroyed_and_cannot_be_recreated_tt;§L...§!\nAll of [Root.GetTitledFirstName]'s §Yempires§! are §Ypermanently destroyed§!:;;;;;;;;;x
expd_cef_hre_info_central_italy_is_granted_to_roots_religious_head_tt;§L...§!\n§YCentral Italy§! is granted to [Root.RelHead.GetBestName]:;;;;;;;;;x
#
# Kingdom migration tooltips
#
expd_cef_hre_this_held_kingdom_becomes_part_of_the_hre_and_is_destroyed_tt;Becomes de jure part of the HRE, and is then destroyed;;;;;;;;;x
expd_cef_hre_this_held_kingdom_becomes_part_of_the_hre_tt;Becomes de jure part of the HRE;;;;;;;;;x
expd_cef_hre_this_unheld_kingdom_becomes_part_of_the_hre_tt;Becomes de jure part of the HRE;;;;;;;;;x
expd_cef_hre_this_empire_is_destroyed_and_cannot_be_recreated_tt;Is destroyed and can never be recreated;;;;;;;;;x
#
# Misc tooltips
#
expd_cef_hre_root_is_crowned_by_his_religious_head_tt;[Root.GetTitledFirstName] is crowned by [Root.RelHead.GetBestName];;;;;;;;x
expd_cef_hre_root_grants_this_county_to_his_religous_head_tt;Is granted to [Root.RelHead.GetBestName];;;;;;;;x
expd_cef_hre_capital_electors_tt;§L...§!\nThe HRE's §YElectors§! will be set based on based on the location of [Root.GetTitledFirstName]'s capital;;;;;;;;;x
expd_cef_hre_german_electors_tt;§L...§!\nThe HRE will be set up with §YGerman Electors§!;;;;;;;;;x
expd_cef_hre_byz_is_unhappy_about_this_development_tt;§L...§!\nThe §YByzantine Empire§! is insulted by this development;;;;;;;;;x
#
# Mod version of Otto bloodline
#
expd_cef_hre_otto_bloodline_name;Founder's Blood;;;;;;;;;x
expd_cef_hre_otto_bloodline_desc;Conquered Italy, regained the old lands of the Holy Roman Empire and raised its banners once more.;A conquis l'Italie et regagné les anciennes terres du Saint-Empire romain.;Eroberte Italien, gewannt die alten Länder des Heiligen Römischen Reiches zurück und hisste erneut dessen Banner.;;Conquistó Italia, recuperó las antiguas tierras del Sacro Imperio Romano, cuyos estandartes volvió a levantar.;;;;;x
