#
# Empire formation main decision
#
expd_cef_merge;(ED:CEF) Forge a new Empire by combining Kingdoms;;;;;;;;;x
expd_cef_merge_desc;As a great King, we can declare a new empire, distinct from all those that came before.;;;;;;;;;x
#
# Empire formation main decision tooltips
#
expd_cef_root_completely_controls_his_primary_kingdom_tt;[Root.GetTitledFirstName] completely controls [Root.GetHerHis] primary title: the §Y[Root.PrimaryTitle.GetFullName]§!;;;;;;;;;x
expd_cef_root_completely_controls_at_least_3_kingdoms_tt;[Root.GetTitledFirstName] has at least 3 kingdom titles which [Root.GetSheHe] completely controls;;;;;;;;;x
expd_cef_root_completely_controls_this_kingdom_tt;[Root.GetTitledFirstName] completely controls the §Y[This.GetFullName]§!;;;;;;;;;x
expd_cef_info_completely_controls_meaning_tt;§L...INFO: For the purpose of this decision, [Root.GetTitledFirstName] §Y'completely controls'§L a kingdom if all of its de jure counties and duchies: are owned by [Root.GetHerHim] personally, or are owned by one of [Root.GetHerHis] vassals, or don't exist. In other words, foreign-owned baronies (eg. from holy orders) will not block you from taking this decision.§!;;;;;;;;;x
expd_cef_every_county_and_duchy_in_this_kingdom_is_controlled_by_root_tt;Every county and duchy in §Y[This.GetName]§! is owned by [Root.GetTitledFirstName] (or one of [Root.GetHerHis] vassals);;;;;;;;;x
expd_cef_roots_realm_size_doesnt_matter_debug_mode_tt;§R!!!DEBUG MODE!!!§! No limit on [Root.GetTitledFirstName]'s realm size!;;;;;;;;;x
expd_cef_roots_realm_size_less_than_120_tt;[Root.GetTitledFirstName]'s realm size is less than 120 (excluding vassal MR family palaces);;;;;;;;;x
expd_cef_info_this_piety_cost_is_based_on_3_kingdoms_tt;§L...INFO: The piety cost is based on §Y3§L kingdoms being merged§!;;;;;;;;;x
expd_cef_info_this_piety_cost_is_based_on_4_kingdoms_tt;§L...INFO: The piety cost is based on §Y4§L kingdoms being merged§!;;;;;;;;;x
expd_cef_info_this_piety_cost_is_based_on_5_kingdoms_tt;§L...INFO: The piety cost is based on §Y5§L kingdoms being merged§!;;;;;;;;;x
expd_cef_info_this_piety_cost_is_based_on_6_kingdoms_tt;§L...INFO: The piety cost is based on §Y6§L kingdoms being merged§!;;;;;;;;;x
expd_cef_info_this_piety_cost_is_based_on_7_kingdoms_tt;§L...INFO: The piety cost is based on §Y7§L kingdoms being merged§!;;;;;;;;;x
expd_cef_info_this_piety_cost_is_based_on_8_or_more_kingdoms_tt;§L...INFO: The piety cost is based on §Y8 or more§L kingdoms being merged§!;;;;;;;;;x
expd_cef_root_forms_new_empire_by_merging_completely_controlled_kingdoms_tt;[Root.GetTitledFirstName] will form a new empire by merging [Root.GetHerHis] completely-controlled kingdoms.;;;;;;;;;x
