#############
# Gathering #
#############
#
# Decision
expd_herm_call_gathering;Call a Gathering of Great Minds;;;;;;;;;;;;;x
expd_herm_call_gathering_desc;Call together the greatest minds in the Hermetic society, to study an esoteric problem.;;;;;;;;;;;;;x
#
# Tooltips
expd_herm_this_character_is_not_inaccessible_incapable_or_prisoner_tt;[This.GetTitledFirstName] is not inaccessible, incapable or a prisoner;;;;;;;;;;;;;x
expd_herm_this_character_has_built_a_laboratory_tt;[This.GetTitledFirstName] has built a §Ylaboratory§!;;;;;;;;;;;;;x
expd_herm_this_character_is_not_already_participating_in_a_gathering_tt;[This.GetTitledFirstName] is not already participating in a gathering;;;;;;;;;;;;;x
expd_herm_at_least_4_people_in_the_society_have_mutual_opinion_15_with_this_character_tt;At least 4 people in the §YHermetic Society§! have mutual opinion >= 15 with [This.GetTitledFirstName];;;;;;;;;;;;;x
expd_herm_has_not_recently_used_this_decision_to_call_a_gathering_tt;[This.GetTitledFirstName] has not recently used this decision to call a gathering;;;;;;;;;;;;;x
expd_herm_this_character_will_call_a_gathering_tt;[This.GetTitledFirstName] will call a gathering of the greatest minds in the §YHermetic Society§!;;;;;;;;;;;;;x
#
# Modifier to track cooldown
expd_herm_recently_called_a_gathering_modifier;Recently called a Gathering;;;;;;;;;;;;;x
expd_herm_recently_called_a_gathering_modifier_desc;[This.GetTitledFirstName] has recently called a gathering of the greatest minds in the Hermetic Society, and must wait a while before [This.GetSheHe] can do so again.;;;;;;;;;;;;;x
