#
# Empire formation decisions & tooltips
#
expd_ef_merge;Forge a new Empire by combining Kingdoms;;;;;;;;;x
expd_ef_merge_desc;As a great King, we can declare a new empire, distinct from all those that came before.;;;;;;;;;x
expd_ef_root_completely_controls_at_least_3_kingdoms_tt;[Root.GetTitledFirstName] has at least 3 kingdom titles which [Root.GetSheHe] completely controls;;;;;;;;;x
expd_ef_root_completely_controls_this_kingdom_tt;[Root.GetTitledFirstName] completely controls the [This.GetFullName];;;;;;;;;x
expd_ef_every_county_and_duchy_in_this_kingdom_is_controlled_by_root_tt;Every county and duchy in [This.GetFullName] is owned by [Root.GetTitledFirstName] (or one of [Root.GetHerHis] vassals);;;;;;;;;x
expd_ef_roots_realm_size_doesnt_matter_debug_mode_tt;!!!DEBUG MODE!!! No limit on [Root.GetTitledFirstName]'s realm size!;;;;;;;;;x
expd_ef_roots_realm_size_less_than_120_tt;[Root.GetTitledFirstName]'s realm size is less than 120 (excluding vassal MR family palaces);;;;;;;;;x
expd_ef_root_forms_new_empire_by_merging_completely_controlled_kingdoms_tt;[Root.GetTitledFirstName] will form a new empire by merging [Root.GetHerHis] completely-controlled kingdoms.;;;;;;;;;x
expd_ef_the_new_empire_is_based_on_roots_primary_title_tt;The new empire's coat of arms and map colour will be based on [Root.GetTitledFirstName]'s primary title: the [Root.PrimaryTitle.GetFullBaseName].;;;;;;;;;x
expd_ef_this_kingdom_becomes_part_of_the_new_empire_and_is_destroyed_tt;Becomes de jure part of the new empire, and is then destroyed.;;;;;;;;;x
expd_ef_this_province_becomes_the_traditional_capital_of_the_empire_tt;[This.GetName] becomes the traditional capital province of the new empire.;;;;;;;;;x
