#
# Tooltips in decisions
edmp_gmn_player_notification_sent_tt;§MAll players will be notified of this change!§!;;;;;;;;;;;;;x
#
# Generic event text
edmp_gmn_title;(ED:MP) Rule Change;;;;;;;;;;;;;x
edmp_gmn_evtopt_ok;OK;;;;;;;;;;;;;x
#
edmp_gmn_2100_desc_invasions_are_disabled_for_everyone;Invasions are now DISABLED for all human players.;;;;;;;;;;;;;x
edmp_gmn_2100_desc_invasions_are_enabled_for_everyone;Invasions are now ENABLED for all human players (who have access to an Invasion CB).;;;;;;;;;;;;;x
edmp_gmn_2100_desc_invasions_are_managed_individually;Invasions are now MANAGED INDIVIDUALLY for all human players (who have access to an Invasion CB).\nThe host can decide which players are permitted to use Invasion CBs, and where those Invasion CBs can be used.;;;;;;;;;;;;;x
#
edmp_gmn_2200_desc_subjugations_are_enabled;Subjugations are now ENABLED for all human players.;;;;;;;;;;;;;x
edmp_gmn_2200_desc_subjugations_of_duke_plus_are_disabled_without_explicit_permission;Subjugations of dukes, kings and emperors are now DISABLED for all human players, unless they have specific permission from the host.;;;;;;;;;;;;;x
edmp_gmn_2200_desc_subjugations_of_king_plus_are_disabled_without_explicit_permission;Subjugations of kings and emperors are now DISABLED for all human players, unless they have specific permission from the host.;;;;;;;;;;;;;x
edmp_gmn_2200_desc_subjugations_of_emperor_plus_are_disabled_without_explicit_permission;Subjugations of emperors are now DISABLED for all human players, unless they have specific permission from the host.;;;;;;;;;;;;;x
