# Template;§M(ED:MP)§!;;;;;;;;;;;;;x
#
# Intrigue Menu Decisions
edmp_interference_show_targetted_decisions;(ED:MP) Show Targetted "Interference" Decisions;;;;;;;;;;;;;x
edmp_interference_show_targetted_decisions_desc;This mod includes a large number of extremely-powerful targetted decisions, which allow the host a huge amount of control over an ongoing game. These are flagged with the special "§P(ED:MP:Intf)§!" prefix in the right-click menu. Due to the potential for accidental game-ruining error, §Yyou should keep these decisions hidden at all times unless you are actively using them§!.;;;;;;;;;;;;;x
edmp_interference_show_targetted_decisions_tt;All applicable §P(ED:MP:Intf)§! targetted decisions will be visible.\n§M! ! ! Be very careful ! ! !§!;;;;;;;;;;;;;x
edmp_interference_hide_targetted_decisions;(ED:MP) Hide Targetted "Interference" Decisions;;;;;;;;;;;;;x
edmp_interference_hide_targetted_decisions_desc;This mod includes a large number of extremely-powerful targetted decisions, which allow the host a huge amount of control over an ongoing game. These are flagged with the special "§P(ED:MP:Intf)§!" prefix in the right-click menu. Due to the potential for accidental game-ruining error, §Yyou should keep these decisions hidden at all times unless you are actively using them§!.;;;;;;;;;;;;;x
edmp_interference_hide_targetted_decisions_tt;All §P(ED:MP:Intf)§! targetted decisions will be hidden.;;;;;;;;;;;;;x
#
# Targetted Decisions
edmp_interference_force_end_war_white_peace;§P(ED:MP:Intf)§! Force White Peace;;;;;;;;;;;;;x
edmp_interference_force_end_war_white_peace_desc;Force one of [Root.GetTitledFirstName]'s wars to end in a white peace.;;;;;;;;;;;;;x
edmp_interference_cancel_tributary_on_suzerain;§P(ED:MP:Intf)§! Cancel Tributary;;;;;;;;;;;;;x
edmp_interference_cancel_tributary_on_suzerain_desc;Cancel one of [Root.GetTitledFirstName]'s tributaries.;;;;;;;;;;;;;x
edmp_interference_cancel_tributary_on_tributary;§P(ED:MP:Intf)§! End Tribute;;;;;;;;;;;;;x
edmp_interference_cancel_tributary_on_tributary_desc;[Root.GetTitledFirstName] stops paying tribute to [Root.GetHerHis] suzerain.;;;;;;;;;;;;;x
edmp_interference_add_bilateral_10_year_truce_with_third_party;§P(ED:MP:Intf)§! Create Truce;;;;;;;;;;;;;x
edmp_interference_add_bilateral_10_year_truce_with_third_party_desc;Create a 10-year truce between [Root.GetTitledFirstName] and another character.;;;;;;;;;;;;;x
edmp_interference_add_nap_with_third_party;§P(ED:MP:Intf)§! Create NAP;;;;;;;;;;;;;x
edmp_interference_add_nap_with_third_party_desc;Create a non-aggression pact between [Root.GetTitledFirstName] and another character.;;;;;;;;;;;;;x
edmp_interference_break_nap_with_third_party;§P(ED:MP:Intf)§! Break NAP;;;;;;;;;;;;;x
edmp_interference_break_nap_with_third_party_desc;Break a non-aggression pact between [Root.GetTitledFirstName] and another character.;;;;;;;;;;;;;x
edmp_interference_add_alliance_with_third_party;§P(ED:MP:Intf)§! Create Alliance;;;;;;;;;;;;;x
edmp_interference_add_alliance_with_third_party_desc;Create an alliance between [Root.GetTitledFirstName] and another character.;;;;;;;;;;;;;x
edmp_interference_break_alliance_with_third_party;§P(ED:MP:Intf)§! Break Alliance;;;;;;;;;;;;;x
edmp_interference_break_alliance_with_third_party_desc;Break an alliance between [Root.GetTitledFirstName] and another character.;;;;;;;;;;;;;x
