# Character modifiers
modifier_potion_of_fortify_magicka;Potion of Fortify Magicka;;;;;;;;;;;;;x
modifier_potion_of_fortify_magicka_desc;[Root.GetDynName] is under the effects of a Potion of Fortify Magicka, which increases [Root.GetHerHis] Maximum Magicka by 20;;;;;;;;;;;;;x
modifier_potion_of_magicka_regeneration;Potion of Magicka Regeneration;;;;;;;;;;;;;x
modifier_potion_of_magicka_regeneration_desc;[Root.GetDynName] is under the effects of a Potion of Magicka Regeneration, greatly increasing their Magicka Regeneration Rate;;;;;;;;;;;;;x
# Decisions
alch_potion_of_fortify_magicka;Potion of Fortify Magicka;;;;;;;;;;;;;x
alch_potion_of_fortify_magicka_desc;Imbibe a Potion of Fortify Magicka, greatly increasing your Magicka for a limited time.;;;;;;;;;;;;;x
alch_potion_of_fortify_magicka_tt;Increases §YMaximum Magicka§! by 20\n(This is equivalent to wearing an §YAmulet of Julianos§!.);;;;;;;;;;;;;x
alch_potion_of_magicka_regeneration;Potion of Magicka Regeneration;;;;;;;;;;;;;x
alch_potion_of_magicka_regeneration_desc;Imbibe a Potion of Magicka Regeneration, greatly increasing your Magicka Regeneration Rate for a limited time.;;;;;;;;;;;;;x
alch_potion_of_magicka_regeneration_tt;Increases §YMagicka Regeneration Rate§! by a rather large amount\n(The exact increase varies between characters but is equivalent to wearing an §YAmulet of Akatosh§!.);;;;;;;;;;;;;x
