#
# Decisions
#
# Admin
expd_pdxrptg_daedric_favour_admin_enable;(ED:PT:Admin) Daedric Favour: DISABLED. Enable?;;;;;;;;;;;;;x
expd_pdxrptg_daedric_favour_admin_enable_desc;The §YDaedric Favour§! mechanic allows characters (usually players) to pay a significant amount of offmap currency to a Daedric Prince, in exchange for lifelong benefits. (Can always activate their artifacts, can always convert to their religion, can potentially unlock a special bloodline.)\n\nWhen this mechanic is enabled, all of these features are available.\n\nWhen this mechanic is disabled, any previously-earned Daedric Favour is recorded and will not be lost, but it cannot be used in any way, and it is impossible to gain any new Daedric Favour.\n\nThis mechanic is enabled by default in all new games, and it can ONLY be enabled/disabled in single-player mode.;;;;;;;;;;;;;x
expd_pdxrptg_daedric_favour_admin_disable;(ED:PT:Admin) Daedric Favour: ENABLED. Disable?;;;;;;;;;;;;;x
expd_pdxrptg_daedric_favour_admin_disable_desc;The §YDaedric Favour§! mechanic allows characters (usually players) to pay a significant amount of offmap currency to a Daedric Prince, in exchange for lifelong benefits. (Can always activate their artifacts, can always convert to their religion, can potentially unlock a special bloodline.)\n\nWhen this mechanic is enabled, all of these features are available.\n\nWhen this mechanic is disabled, any previously-earned Daedric Favour is recorded and will not be lost, but it cannot be used in any way, and it is impossible to gain any new Daedric Favour.\n\nThis mechanic is enabled by default in all new games, and it can ONLY be enabled/disabled in single-player mode.;;;;;;;;;;;;;x
expd_pdxrptg_daedric_favour_is_permitted_by_game_rules_tt;The §YDaedric Favour§! mechanic is enabled;;;;;;;;;;;;;x
#
# Gain Daedric favour
expd_pdxrptg_daedric_favour_gain;Become Favoured by [Root.Offmap.GetName];;;;;;;;;;;;;x
expd_pdxrptg_daedric_favour_gain_desc;By investing a large amount of §YArdor§!, I can persuade [Root.Offmap.GetName] to continue to look upon me favourably, even if I am no longer directly worshipping them.;;;;;;;;;;;;;x
# Tooltips
expd_pdxrptg_daedric_favour_this_character_is_not_dragonblood_tt;Is NOT Dragon-Blooded §g(Dragon-Blooded characters are favoured by default)§!;;;;;;;;;;;;;x
expd_pdxrptg_daedric_favour_warning_not_necessary_for_dragonblood_tt;§RWARNING!§! You are Dragon-Blooded, ie. favoured by default, so this purchase may be unnecessary!;;;;;;;;;;;;;x
expd_pdxrptg_daedric_favour_this_character_is_not_already_favoured_by_prev_offmap_power_tt;Is NOT already §YFavoured by [Prev.Offmap.GetName]§!;;;;;;;;;;;;;x
