#Key§;;;;;;;;;;;;;;x
#
# Intrigue menu decisions
expd_pdxrptg_daedric_no_mount_pet_farming_enable;(ED:PT) Admin: Daedric M/P Farm: ENABLED. Disable?;;;;;;;;;;;;;x
expd_pdxrptg_daedric_no_mount_pet_farming_enable_desc;"Daedric Mount/Pet Farming" refers to the process by which a player can repeatedly spend 25 gold to generate a mount/pet from the marketplace, then immediately sacrifice it to a daedric prince for 50 offmap currency & 25 piety.\n\nThis is technically an exploit, but it's extremely tedious for the player concerned, so it's not normally a problem.\n\nHowever, if you wish to remove the temptation completely, this decision allows you to disable sacrificing mounts/pets where the original owner is the same as the sacrificer.\n\nThis "Daedric Mount/Pet Farming" is §Genabled by default§! in all new games, and it can ONLY be enabled/disabled in §Ysingle-player mode§!.;;;;;;;;;;;;;x
expd_pdxrptg_daedric_no_mount_pet_farming_enable_tt;"Daedric Mount/Pet Farming" will be §Rdisabled§!;;;;;;;;;;;;;x
expd_pdxrptg_daedric_no_mount_pet_farming_disable;(ED:PT) Admin: Daedric M/P Farm: DISABLED. Enable?;;;;;;;;;;;;;x
expd_pdxrptg_daedric_no_mount_pet_farming_disable_desc;"Daedric Mount/Pet Farming" refers to the process by which a player can repeatedly spend 25 gold to generate a mount/pet from the marketplace, then immediately sacrifice it to a daedric prince for 50 offmap currency & 25 piety.\n\nThis is technically an exploit, but it's extremely tedious for the player concerned, so it's not normally a problem.\n\nHowever, if you wish to remove the temptation completely, this decision allows you to disable sacrificing mounts/pets where the original owner is the same as the sacrificer.\n\nThis "Daedric Mount/Pet Farming" is §Genabled by default§! in all new games, and it can ONLY be enabled/disabled in §Ysingle-player mode§!.;;;;;;;;;;;;;x
expd_pdxrptg_daedric_no_mount_pet_farming_disable_tt;"Daedric Mount/Pet Farming" will be §Genabled§!;;;;;;;;;;;;;x
#
# New tooltips for the offmap offer artifact decision (chinese_grace_offer_artifact)
expd_pdxrptg_daedric_no_mount_pet_farming_fromfrom_is_not_mount_or_pet_tt;§Y[FromFrom.GetName]§! is NOT a mount or pet;;;;;;;;;;;;;x
expd_pdxrptg_daedric_no_mount_pet_farming_fromfrom_is_someone_elses_mount_or_pet_tt;§Y[FromFrom.GetName]§! is a mount or pet whose original owner is NOT §Y[Root.GetTitledFirstName]§!;;;;;;;;;;;;;x
