#
# Decision to gain dragon blood by lighting the dragonfires
expd_pdxrptg_gain_dragonblood_decision_dragonfires;Become Dragon-Blooded;;;;;;;;;;;;;x
expd_pdxrptg_gain_dragonblood_decision_dragonfires_desc;By allowing me to light the Dragonfires, Akatosh himself has recognised me as a member of his divine draconic bloodline. I should therefore claim my rightful birthright: I am Dragon-Blooded!;;;;;;;;;;;;;x
#
# Tooltips
expd_pdxrptg_this_character_has_trait_dragonborn_descendant_tt;Is §YDragon-Blooded§!;;;;;;;;;;;;;x
expd_pdxrptg_this_character_gains_minimal_dragonblood_tt;[This.GetBestName] will be recognised as §YDragon-bloodeds§!;;;;;;;;;;;;;x
expd_pdxrptg_this_character_and_all_descendants_gain_minimal_dragonblood_tt;[This.GetBestName], and all of [This.GetHerHis] descendants (living and dead), will be recognised as §YDragon-Blooded§!;;;;;;;;;;;;;x
#
# Cosmetic trait
expd_pdxrptg_dragonborn_descendant_cosmetic;Dragonblood;;;;;;;;;;;;;x
expd_pdxrptg_dragonborn_descendant_cosmetic_desc;[Root.GetFirstName] is descended from a Dragonborn although their descent is so dillute as to be almost irrelevant. Still, some small measure of their ancestor's power flows through their veins and could perhaps be awoken with the right encouragement.\n\nThis cosmetic trait has been added by the §YED: PRT§! submod (because this character's actual Dragonblood trait is hidden even though it should be visible).;;;;;;;;;;;;;x
