#
# Decisions
expd_pdxrptg_ask_to_be_bitten_vampire;§M(ED:PT)§! Request Vampirism;;;;;;;;;;;;;x
expd_pdxrptg_ask_to_be_bitten_vampire_desc;Ask [Root.GetBestName] to grant me the gift of vampirism;;;;;;;;;;;;;x
expd_pdxrptg_ask_to_be_bitten_lycan;§M(ED:PT)§! Request Lycanthropy;;;;;;;;;;;;;x
expd_pdxrptg_ask_to_be_bitten_lycan_desc;Ask [Root.GetBestName] to grant me the gift of lycanthropy;;;;;;;;;;;;;x
#
# Tooltips
expd_pdxrptg_ask_to_be_bitten_this_character_has_50_opinion_of_root_tt;Opinion of [Root.GetTitledFirstName] is §Yat least 50§!;;;;;;;;;;;;;x
expd_pdxrptg_ask_to_be_bitten_this_character_has_50_opinion_of_from_tt;Opinion of [From.GetTitledFirstName] is §Yat least 50§!;;;;;;;;;;;;;x
expd_pdxrptg_ask_to_be_bitten_this_character_is_not_horrified_by_roots_vampirism_tt;Is NOT horrified by [Root.GetTitledFirstName]'s vampirism;;;;;;;;;;;;;x
expd_pdxrptg_ask_to_be_bitten_this_character_is_not_horrified_by_roots_lycanthropy_tt;Is NOT horrified by [Root.GetTitledFirstName]'s lycanthropy;;;;;;;;;;;;;x
expd_pdxrptg_ask_to_be_bitten_this_character_is_a_prisoner_of_from_tt;Is a prisoner of [From.GetTitledFirstName];;;;;;;;;;;;;x
expd_pdxrptg_this_character_has_full_control_of_their_lycanthropy_tt;Has §Yfull control§! of [This.GetHerHis] lycanthropy;;;;;;;;;;;;;x
#
# Complex Tooltip
expd_pdxrptg_ask_to_be_bitten_this_character_is_friend_lover_consort_spouse_prisoner_or_100opinion_of_from_tt;Is [EDPTAtbB_GetRG_FriendOfFrom]friend§!, [EDPTAtbB_GetRG_LoverOfFrom]lover§!, [EDPTAtbB_GetRG_ConsortOfFrom]consort§!, [EDPTAtbB_GetRG_SpouseOfFrom]spouse§!, [EDPTAtbB_GetRG_PrisonerOfFrom]prisoner§!, or [EDPTAtbB_GetRG_100OpinionOfFrom]has 100 opinion§! of [From.GetTitledFirstName];;;;;;;;;;;;;x
EDPTAtbB_GetRG_R;§R;;;;;;;;;;;;;x
EDPTAtbB_GetRG_G;§G;;;;;;;;;;;;;x
