#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
enable_prisoner_transfering;Enable Prisoner Transfering;;;;;;;;;;;;;x
enable_prisoner_transfering_desc;Enable the decisions to transfer a prisoner into the hands of another person.;;;;;;;;;;;;;x
disable_prisoner_transfering;Disable Prisoner Transfering;;;;;;;;;;;;;x
disable_prisoner_transfering_desc;Enable the decisions to transfer a prisoner into the hands of another person.;;;;;;;;;;;;;x
select_prisoner;Select Prisoner to Move;;;;;;;;;;;;;x
select_prisoner_desc;Select this prisoner to move to another person.;;;;;;;;;;;;;x
deselect_prisoner;Deselect Prisoner to Move;;;;;;;;;;;;;x
deselect_prisoner_desc;Deselect this prisoner to move to another person.;;;;;;;;;;;;;x
handover_prisoner;Hand Over Prisoners;;;;;;;;;;;;;x
handover_prisoner_desc;Give your selected prisoners over to this person.;;;;;;;;;;;;;x
desctttbg.1;My Liege, we have been given an offer to take control over an amount of prisoners. How should we respond?;;;;;;;;;;;;;x
##
select_prisoner_else;Select Prisoner to Request;;;;;;;;;;;;;x
select_prisoner_else_desc;Select this prisoner to request from another person.;;;;;;;;;;;;;x
deselect_prisoner_else;Deselect Prisoner to Request;;;;;;;;;;;;;x
deselect_prisoner_else_desc;Deselect this prisoner to request from another person.;;;;;;;;;;;;;x
handover_prisoner_else;Request Prisoners;;;;;;;;;;;;;x
handover_prisoner_else_desc;Request your desired prisoner from this person.;;;;;;;;;;;;;x
desctttbg.2;My Liege, it has been requested of us to hand over a prisoner. How should we respond?;;;;;;;;;;;;;x
