# Main
expd_preg_enable_decisions;§PED-EP: Enable Encourage Pregnancy§!;;;;;;;;;x
expd_preg_enable_decisions_desc;The "§MED-EP: Encourage Pregnancy§!" decision will be enabled on all targets;;;;;;;;;x
expd_preg_disable_decisions;§PED-EP: Disable Encourage Pregnancy§!;;;;;;;;;x
expd_preg_disable_decisions_desc;The "§MED-EP: Encourage Pregnancy§!" decision will be disabled (until re-enabled by taking the "§PED-EP: Enable Encourage Pregnancy§!" decision);;;;;;;;;x
expd_preg_trigger_pregnancy_in_target;§MED-EP: Encourage Pregnancy§!;;;;;;;;;x
expd_preg_trigger_pregnancy_in_target_desc;Encourage §Y[Root.GetFullName]§! to become pregnant;;;;;;;;;x
EXPD_PREG_TOOLTIP_TRIGGER_PREGNANCY_DEPENDING_ON_JOINT_FERTILITY_HUSBAND;§Y[Root.GetFullName]§! will attempt to become pregnant by her §Ghusband §Y[FromFrom.GetFullName]§! at a random time in the future (depending on their current fertility).;;;;;;;;;x
EXPD_PREG_TOOLTIP_TRIGGER_PREGNANCY_DEPENDING_ON_JOINT_FERTILITY_CONSORT;§Y[Root.GetFullName]§! will attempt to become pregnant by her §Gconsort §Y[FromFrom.GetFullName]§! at a random time in the future (depending on their current fertility).;;;;;;;;;x
EXPD_PREG_TOOLTIP_TRIGGER_PREGNANCY_DEPENDING_ON_JOINT_FERTILITY_LOVER;§Y[Root.GetFullName]§! will attempt to become pregnant by her §Rlover §Y[FromFrom.GetFullName]§! at a random time in the future (depending on their current fertility).\n§RWARNING! The child may be illegitimate!§!;;;;;;;;;x
EXPD_PREG_TOOLTIP_TRIGGER_PREGNANCY_DEPENDING_ON_JOINT_FERTILITY_FALLBACK;§Y[Root.GetFullName]§! will attempt to become pregnant by §Y[FromFrom.GetFullName]§! at a random time in the future (depending on their current fertility).;;;;;;;;;x
EXPD_PREG_TOOLTIP_HAS_NOT_ALREADY_GOT_TRIGGERED_PREGNANCY;§Y[Root.GetFullName]§! has NOT already been encouraged to become pregnant;;;;;;;;;x
EXPD_PREG_TOOLTIP_HAS_NOT_BLOCKED_TRIGGERED_PREGNANCY_VIA_DECISION;"§MED-EP: Encourage Pregnancy§!" has NOT been temporarily blocked for §Y[From.GetTitledFirstName]§! (by self-targeted decision);;;;;;;;;x
EXPD_PREG_TOOLTIP_FATHER_OF_TRIGGERED_PREGNANCY_IS_BROKEN;The stored link to the father of the triggered pregnancy has somehow been broken\n\n§g...INFO: If you are continuing an existing game and you have recently updated the ED-EP mod to a new version, this is probably a spurious error caused by the update and all encouraged pregnancies that you set up in the old version will occur as normal (taking the decision again will reset the timer, which is probably not what you want). Otherwise, this indicates a bug and you should take the decision again.;;;;;;;;;x
EXPD_PREG_TOOLTIP_FATHER_OF_TRIGGERED_PREGNANCY_IS_DEAD;The father of the triggered pregnancy (§Y[Root.expd_preg_triggered_pregnancy_father.GetFullName]§!) is §Ydead§!;;;;;;;;;x
