# Block/Unblock decisions on self
expd_pris_self_enable_targeted_liege_prisoner_decisions;§PED-P: Enable Liege Decisions§!;;;;;;;;;x
expd_pris_self_enable_targeted_liege_prisoner_decisions_desc;All decisions which target §Y[Root.GetTitledFirstName]§!'s prisoners' lieges will be enabled;;;;;;;;;x
expd_pris_self_block_targeted_liege_prisoner_decisions;§PED-P: Disable Liege Decisions§!;;;;;;;;;x
expd_pris_self_block_targeted_liege_prisoner_decisions_desc;All decisions which target §Y[Root.GetTitledFirstName]§!'s prisoners' lieges will be disabled (until re-enabled by taking the "§PED-P: Enable Liege Prisoner Decisions§!" decision);;;;;;;;;x
EXPD_PRIS_TOOLTIP_TARGETED_LIEGE_PRISONER_DECISIONS_NOT_BLOCKED_ON_FROM;Targeted-liege prisoner decisions have NOT been temporarily blocked for [From.GetTitledFirstName] (by self-targeted decision);;;;;;;;;x
# Prisoner movements: name & description
expd_pris_targeted_move_all_prisoners_from_this_liege_to_house_arrest;§MED-P: Move Prisoners: House Arrest§!;;;;;;;;;x
expd_pris_targeted_move_all_prisoners_from_this_liege_to_house_arrest_desc;Move all of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that originate in §Y[Root.GetTitledFirstName]§!'s court to §Yhouse arrest§!;;;;;;;;;x
expd_pris_targeted_move_all_prisoners_from_this_liege_to_dungeon;§MED-P: Move Prisoners: Dungeon§!;;;;;;;;;x
expd_pris_targeted_move_all_prisoners_from_this_liege_to_dungeon_desc;Move all of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that originate in §Y[Root.GetTitledFirstName]§!'s court to §Ythe dungeon§!;;;;;;;;;x
expd_pris_targeted_move_all_prisoners_from_this_liege_to_oubliette;§MED-P: Move Prisoners: Oubliette§!;;;;;;;;;x
expd_pris_targeted_move_all_prisoners_from_this_liege_to_oubliette_desc;Move all of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that originate in §Y[Root.GetTitledFirstName]§!'s court to §Ythe oubliette§!;;;;;;;;;x
# Prisoner release: name & description
expd_pris_targeted_release_single_prisoner_from_this_liege;§GED-P: Release: Single§!;;;;;;;;;x
expd_pris_targeted_release_single_prisoner_from_this_liege_desc;Release one of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that originate in §Y[Root.GetTitledFirstName]§!'s court;;;;;;;;;x
expd_pris_targeted_release_all_prisoners_from_this_liege;§GED-P: Release: All§!;;;;;;;;;x
expd_pris_targeted_release_all_prisoners_from_this_liege_desc;Release all of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that originate in §Y[Root.GetTitledFirstName]§!'s court;;;;;;;;;x
expd_pris_targeted_release_all_house_arrested_prisoners_from_this_liege;§GED-P: Release: All House-Arrested§!;;;;;;;;;x
expd_pris_targeted_release_all_house_arrested_prisoners_from_this_liege_desc;Release all of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that are currently under §Yhouse arrest§! and that originate in §Y[Root.GetTitledFirstName]§!'s court;;;;;;;;;x
expd_pris_targeted_release_all_dungeon_prisoners_from_this_liege;§GED-P: Release: All in Dungeon§!;;;;;;;;;x
expd_pris_targeted_release_all_dungeon_prisoners_from_this_liege_desc;Release all of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that are currently in §Ythe dungeon§! and that originate in §Y[Root.GetTitledFirstName]§!'s court;;;;;;;;;x
expd_pris_targeted_release_all_oublietted_prisoners_from_this_liege;§GED-P: Release: All Oublietted§!;;;;;;;;;x
expd_pris_targeted_release_all_oublietted_prisoners_from_this_liege_desc;Release all of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that are currently in §Ythe oubliette§! and that originate in §Y[Root.GetTitledFirstName]§!'s court;;;;;;;;;x
# Prisoner execution: name & description
expd_pris_targeted_execution_single_prisoner_from_this_liege;§gED-P: Execute: Single§!;;;;;;;;;x
expd_pris_targeted_execution_single_prisoner_from_this_liege_desc;Execute one of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that originate in §Y[Root.GetTitledFirstName]§!'s court;;;;;;;;;x
expd_pris_targeted_execution_all_prisoners_from_this_liege;§gED-P: Execute: All§!;;;;;;;;;x
expd_pris_targeted_execution_all_prisoners_from_this_liege_desc;Execute all of §Y[From.GetTitledFirstName]§!'s §Yunlanded§! prisoners that originate in §Y[Root.GetTitledFirstName]§!'s court;;;;;;;;;x
