# Localisation mostly-copied from vanilla
expd_tv_send_away_as_mercenary;§MED-TV: Send Away as Mercenary§!;§MED-TV: Envoyer en tant que mercenaire§!;§MED-TV: Als Söldner fortschicken§!;;§MED-TV: Envía como mercenario§!;;;;;;;;;x
expd_tv_send_away_as_mercenary_desc;Send §Y[Root.GetFirstName]§! away to seek experience, fame and fortune as a mercenary, taking some soldiers from your current levy with [Root.GetHerHim] as a starting force. You will be able to recall [Root.GetHerHim] to §Y[From.Capital.GetName]§! at any time, and hopefully by then [Root.GetSheHe] will have brought honor to your dynasty by amassing a suitably impressive amount of gold and prestige.;Envoyez §Y[Root.GetFirstName]§! en mission pour gagner expérience, gloire et fortune en tant que mercenaire, plus quelques soldats de vos troupes avec [Root.GetLuiElle] comme force de base. Vous pourrez [Root.GetLeLa] rappeler à §Y[From.Capital.GetName]§! à n'importe quel moment. Espérons qu'alors, [Root.GetIlElle] aura honoré votre dynastie en amassant une somme impressionnante d'or et de prestige.;Mit einigen Soldaten Eurer Lehnstruppen wird [Root.GetFirstName] fortgeschickt, um sich als Söldner zu verdingen und zu Ruhm, Erfahrung und Reichtum zu gelangen. Ihr könnt [Root.GetHerHim] jederzeit zurück nach [From.Capital.GetName] beordern und im Idealfall wird [Root.GetSheHe] bei der Rückkehr eine stattliche Menge an Gold und Prestige nach Hause bringen, die Eurer Dynastie zur Ehre gereichen werden.;;Manda a §Y[Root.GetFirstName]§! a buscar experiencia, fama y fortuna como mercenario, dejando que [Root.GetHerHim] se lleve algunos soldados de tu leva actual como fuerza inicial. Serás capaz de llamar[Root.GetHerHim] a §Y[From.Capital.GetName]§! en cualquier mom;;;;;;;;;x
expd_tv_make_shieldmaiden;§MED-TV: Appoint Shieldmaiden§!;§MED-TV: Nommer skjaldmö§!;§MED-TV: Schildmaid ernennen§!;;§MED-TV: Nombrar Doncella escudera§!;;;;;;;;;x
expd_tv_make_shieldmaiden_desc;A §YShieldmaiden§! is recognized as a woman of remarkable bravery and strength of character. She may also be made a §YCommander§!.;Une §Yskjaldmö§! est reconnue comme une femme d'une remarquable bravoure et de fort caractère. Elle pourrait occuper la fonction de §Ycommandant§!.;Eine §YSchildmaid§! ist als Dame von bemerkenswerter Tapferkeit und Charakterstärke geachtet. Außerdem kann sie zum §YBefehlshaber§! ernannt werden.;;Una §YDoncella escudera§! es una mujer a la que se reconoce una notable valentía y fortaleza de personaje. También puede ser nombrada §YComandante§!.;;;;;;;;;x
expd_tv_make_horoscope;§MED-TV: Make Horoscope§!;§MED-TV: Faire l'horoscope§!;§MED-TV: Horoskop erstellen§!;;§MED-TV: Realizar horóscopo§!;;;;;;;;;x
expd_tv_make_horoscope_desc;As a member of [From.Society.GetName], you may search the heavens for insight into the future of your child §Y[Root.GetTitledName]§!.;En tant que membre [From.Get_du_Society], vous pouvez sonder les cieux pour avoir un aperçu de l'avenir de votre enfant, [Root.Get_le_TitledNameJ].;Als Mitglied des "[From.Society.GetName]"-Zirkels könnt Ihr am Himmel nach Erkenntnissen hinsichtlich der Zukunft Eures Kindes §Y[Root.GetTitledName]§! suchen.;;Como miembro de [From.Society.GetName], puedes buscar en el cielo sobre qué le deparará el futuro a tu hijo/a §Y[Root.GetTitledName]§!.;;;;;;;;;x
expd_tv_recruit_to_warrior_lodge_decision;§MED-TV: Recruit to Warrior Lodge§!;Recruter pour la Loge;Für Kriegerloge rekrutieren;;Reclutar para la logia;;;;;;;;;x
expd_tv_recruit_to_warrior_lodge_decision_desc;As §Y[Root.GetTitledFirstName]§! is your [Root.GetFromRelation], you can ask them to go through the initiation rite, in order to join [From.Society.GetName].\n;Puisque [Root.Get_le_TitledFirstNameJ] est votre [Root.GetFromRelation], vous pouvez lui demander de passer le rite d'initiation afin de rejoindre [From.Get_le_Society].\n;Da §Y[Root.GetTitledFirstName]§! [Root.GetEuerEure] [Root.GetFromRelation] ist, könnte Ihr darum bitten, den Aufnahmeritus zu durchlaufen, um [From.Society.GetName] beizutreten.\n;;Como §Y[Root.GetTitledFirstName]§! es tu [Root.GetFromRelation], puedes pedirle que pase el rito de iniciación para unirse a [From.Society.GetName].\n;;;;;;;;;x
# New decisions
expd_tv_make_shieldmaiden_self;§MED-TV: Declare Shieldmaiden§!;;;;;;;;;;;;;x
expd_tv_make_shieldmaiden_self_desc;As a valued member of a warrior lodge, I can declare myself to be a §YShieldmaiden§!!;;;;;;;;;;;;;;x
# Tooltips
EXPD_TV_TOOLTIP_THIS_CHARACTER_HAS_A_TEMPORARY_ILLNESS;§Y[This.GetTitledFirstName]§! has a temporary illness;;;;;;;;;x
EXPD_TV_TOOLTIP_THIS_CHARACTER_IS_RECOVERING_FROM_WOUNDS;§Y[This.GetTitledFirstName]§! is recovering from [This.GetHerHis] wounds;;;;;;;;;x
EXPD_TV_TOOLTIP_THIS_CHARACTER_IS_OF_FROMS_DYNASTY_INCLUDING_BASTARD;§Y[This.GetTitledFirstName]§! is a member of §Y[From.GetTitledFirstName]§!'s dynasty (including bastards);;;;;;;;;x
EXPD_TV_TOOLTIP_THIS_CHARACTER_HAS_A_MERCENARY_BLOODLINE;§Y[This.GetTitledFirstName]§! embraces [This.GetHerHis] membership of a mercenary bloodline;;;;;;;;;x
expd_tv_this_character_has_a_religion_that_is_accepted_by_froms_warrior_lodge_tt;[This.GetTitledFirstName] practices a religion that is accepted by [From.Society.GetName];;;;;;;;;x
