#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Copied from v2_40d.csv
expd_t_free_tributary_cb_desc;You can declare war to free yourself or one of your vassals from tributary status.;Vous pouvez dÃ©clarer la guerre pour libÃ©rer l'un de vos vassaux ou vous-mÃªme du statut de tributaire.;Ihr kÃ¶nnt eine KriegserklÃ¤rung aussprechen, um Euch oder einen Eurer Vasallen vom Status der Tributpflichtigkeit zu befreien.;;Puedes declarar la guerra para liberar a ti mismo o a uno de sus vasallos del estado de tributario.;;;;;;;;;x
# Copied from JadeDragon.csv
expd_t_chainable_permanent_tributary_cb_desc;§Y$TARGET$§! is weak, but if they would just pay you tribute in the form of gold and soldiers you could protect them!\n\nThrough war you can force any realm that you or one of your §YTributary States§! border to pay you §Y20%§! of their income and §Y15%§! of their levy reinforcements as tribute.\nWill only break free if the §YSuzerain§! has §Rnegative§! §YPrestige§!, is §RNOT§! §YIndependent§!, has §Rless§! §YRealm Size§! than the §YTributary State§! or §Rdeclines a defensive§! §YCall to Arms§! from the §YTributary State§!.\nThis type of §YTributary§! can §RNOT§! be called to war.;§Y$TARGET$§! est faible, mais en vous payant un tribut sous la forme d'or et de soldats, vous pourriez assurer sa protection !\n\nPar la guerre, vous pouvez forcer tout pays frontalier de vous ou de l'un de vos §YÃ‰tats tributaires§! Ã  vous donner §G20%§! de ses revenus et §G15%§! de ses renforts.\nCe type de tributaire ne se libÃ©rera que si le §Ysuzerain§! a un §Rprestige nÃ©gatif§!, §Rn'est pas indÃ©pendant§!, a une §Rtaille de pays infÃ©rieure§! Ã  celle de l'Ã‰tat tributaire ou §RdÃ©cline§! un appel aux armes dÃ©fensif de l'Ã‰tat tributaire.\nCe type de tributaire §Rne peut pas Ãªtre appelÃ© Ã  la guerre§!.;§Y$TARGET$§! ist schwach, aber wenn sie Tribut in Form von Gold und Soldaten aufbringen wÃ¼rden, kÃ¶nntet Ihr sie beschÃ¼tzen.\n\nDurch Krieg kÃ¶nnt Ihr jedes Reich, das entweder an Euch selbst oder einen Eurer §YTributstaaten§! angrenzt, dazu zwingen, §Y20%§! ihres Einkommens und §Y15%§! ihres Aufgebots als Tribut zu zahlen.\nWird nur unabhÃ¤ngig, wenn der §YSuzerÃ¤n§! §Rnegative§! §YPrestige§! hat, §RNICHT§! unabhÃ¤ngig ist, §Rweniger§! §YReichsgrÃ¶ÃŸe§! als der §YTributstaat§! hat oder einen §Rdefensiven§! §YRuf zu den Waffen§! eines §YTributstaates§! ablehnt.\nDiese Art §YTributstaat§! kann §RNICHT§! in den Krieg gerufen werden.;;§Y$TARGET$§! es dÃ©bil, ¡pero puedes protegerlos si te pagan tributo en forma de oro y soldados!\n\nPuedes usar la guerra para que cualquier reino fronterizo contigo o con uno de tus §Yestados tributarios§! te pague el §Y20%§! de sus ingresos y el §Y15%§! de sus refuerzos de leva como tributo.\nSolo se liberarÃ¡ si el §Ysoberano§! tiene §Yprestigio§! §Rnegativo§!, §RNO§! es §Yindependiente§!, el §YtamaÃ±o del reino§! es §Rmenor§! que el §Yestado tributario§! o §Rechaza§! una §Yllamada a las armas§! §Ydefensiva§! del §Yestado tributario§!.\nEste tipo de §Ytributario§! §RNO§! puede ser llamado a la guerra.;;;;;;;;;x
expd_t_chainable_extort_tributary_cb_desc;§Y$TARGET$§! is rich and should pay tribute to you!\n\nThrough war you can force any realm that you border to pay you §Y40%§! of their income as tribute.\nThis type of §YTributary§! will §Rbreak free§! upon the death of the §YSuzerain§!.\nThis type of §YTributary§! can be called to war.;§Y$TARGET$§! est riche et devrait vous payer un tribut !\n\nPar la guerre, vous pouvez forcer tout pays Ã  vous donner §G40%§! de ses revenus.\nCe type de tributaire sera §RlibÃ©rÃ© Ã  la mort du suzerain§!.\nCe type de tributaire §Gpeut Ãªtre appelÃ© Ã  la guerre§!.;§Y$TARGET$§! ist reich und sollte uns Tribut zahlen!\n\nDurch Krieg kann jedes Reich, das an Euch grenzt, dazu gezwungen werden, §Y40%§! ihres Einkommens als Tribut zu zahlen.\nDiese Art §YTributstaat§! wird bei Tod des §YSuzerÃ¤n§! §RunabhÃ¤ngig§!.\nDiese Art §YTributstaat§! kann in den Krieg gerufen werden.;;¡§Y$TARGET$§! es rico y deberÃ­a pagar tributo!\n\nPuedes usar la guerra para que cualquier reino fronterizo contigo te pague el §Y40%§! de sus ingresos como tributo.\nEsta clase de §Ytributario§! se §RliberarÃ¡§! con la muerte del §Ysoberano§!.\nEste tipo de §Ytributario§! puede ser llamado a la guerra.;;;;;;;;;x
expd_t_religious_liberation_cb_desc;§Y$TARGET$§! is not of your religion, but has Counties in their realm following the true faith. They must be liberated from their oppressors!;§Y$TARGET$§! n'est pas de votre religion, mais a des comtÃ©s dans son pays qui suivent la vraie foi. Ils doivent Ãªtre libÃ©rÃ©s de leurs oppresseurs !;§Y$TARGET$§! gehÃ¶rt nicht Eurer Religion an, hat aber HerzogtÃ¼mer in seinem Reich, die dem wahren Glauben folgen. Sie mÃ¼ssen von ihren UnterdrÃ¼ckern befreit werden!;;§Y$TARGET$§! no pertenece a tu religiÃ³n, pero tiene condados en su reino que siguen la fe verdadera. ¡Deben ser liberados de sus opresores!;;;;;;;;;x
# Tributary Holy War CB modified vanilla tooltips, from JadeDagon.csv and v1_09b.csv (Root changed to FromFrom)
expd_t_tributary_holy_war_cb_succ_title_muslim_tt;§Y[FromFrom.GetTitledFirstName]§! vassalizes lords in the §Y[This.GetFullBaseName]§!.\n;[FromFrom.Get_Le_TitledFirstNameJ] vassalise les seigneurs dans §Y[This.GetFullBaseName]§!.\n;§Y[FromFrom.GetTitledFirstName]§! vasallisiert die FÃ¼rsten von §Y[This.GetFullBaseName]§!;;§Y[FromFrom.GetTitledFirstName]§! hace vasallos a los seÃ±ores del §Y[This.GetFullBaseName]§!.\n;;;;;;;;;x
expd_t_tributary_holy_war_cb_succ_title_nonmuslim_tt;§Y[FromFrom.GetTitledFirstName]§! vassalizes lords of [FromFrom.GetPossPronoun] religion and takes all other titles in the §Y[This.GetFullBaseName]§!.\n;[FromFrom.Get_Le_TitledFirstNameJ] vassalise les seigneurs de sa religion et acquiert tous les autres titres de §Y[This.GetFullBaseName]§!.\n;§Y[FromFrom.GetTitledFirstName]§! unterwirft die Herrscher der [FromFrom.GetPossPronoun]en Religion und Ã¼bernimmt alle anderen Titel in §Y[This.GetFullBaseName]§!.\n;;§Y[FromFrom.GetTitledFirstName]§! somete a los seÃ±ores de [FromFrom.GetPossPronoun] religiÃ³n y toma todos los demÃ¡s tÃ­tulos del §Y[This.GetFullBaseName]§!.\n;;;;;;;;;x
other_expd_t_tributary_holy_war_cb_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!. This Casus Belli is valid against neighbors, and also against infidels up to two sea zones away if either the attacker or the defender is a Muslim, or if the era of Great Holy Wars has started for the attacker's religion.;§Y$CLAIMANT$§! peut utiliser ce casus belli pour s'emparer de tous les titres que possÃ¨de l'infidÃ¨le §Y$TARGET$§! au sein de §Y$TITLE$§! de jure. Ce casus belli est valide contre des pays frontaliers, mais aussi jusqu'Ã  deux zones maritimes de distance si l'attaquant ou le dÃ©fenseur est un musulman, ou encore si l'Ã¨re des grandes guerres saintes a commencÃ© pour la religion de l'attaquant.;§Y$CLAIMANT$§! kann diesen Kriegsgrund dazu benutzen, dem unglÃ¤ubigen Ziel §Y$TARGET$§! sÃ¤mtliche Titel unter dem De-jure-Titel §Y$TITLE$§! abzunehmen.;;§Y$CLAIMANT$§! puede utilizar este casus belli para apoderarse de todos los tÃ­tulos que posee el infiel, §Y$TARGET$§!, dentro de los de jure §Y$TITLE$§!. Este Casus Belli es vÃ¡lido contra vecinos, y tambiÃ©n contra los infieles hasta a dos marÃ­timas de distancia, si el defensor o el atacante es un musulmÃ¡n, o si la Ã©poca de la Gran guerra santa ha comenzado por la religiÃ³n del atacante.;;;;;;;;;x
# Tributary CBs, new tooltips
expd_t_this_character_is_not_primary_attacker_in_any_other_war_tt;Is NOT primary attacker in any other war;;;;;;;;;;;;;x
